province,general_rank,salary_primary_ex_ss_pct,salary_rank,capital_primary_ex_ss_pct,capital_rank,autonomy_ex_ss_pct,autonomy_rank,iibb_own_tax_pct,iibb_rank,debt_income_pct,debt_rank,bonds_banks_debt_pct,bonds_banks_rank,financial_result_pct,financial_result_rank
San Luis,1,41.1,2,14.0,6,19.6,15,78.6,9,0.0,1,0.0,1,4.3,2
CABA,2,42.9,4,18.8,2,75.5,1,76.7,7,17.4,16,72.8,11,-1.8,13
Santiago del Estero,3,40.0,1,28.0,1,7.8,22,74.3,4,0.5,2,100.0,23,18.1,1
San Juan,4,51.2,9,14.2,5,15.3,17,76.5,6,10.5,10,0.7,3,-1.4,10
Formosa,5,49.4,7,16.3,3,6.7,23,87.4,18,1.0,3,0.1,2,0.9,5
Córdoba,6,44.2,6,13.8,7,31.6,9,78.0,8,33.6,21,84.9,18,0.4,7
Corrientes,7,57.6,16,10.6,10,15.4,16,81.6,14,2.1,4,3.2,5,-2.6,15
Neuquén,8,63.0,18,10.1,12,67.3,2,90.6,22,13.3,11,65.9,9,0.4,6
Catamarca,9,49.9,8,13.8,8,12.3,19,89.0,19,3.7,8,60.7,7,-1.8,12
Misiones,10,42.5,3,6.5,15,31.4,10,91.9,23,2.8,6,84.3,17,-0.5,8
Mendoza,11,43.4,5,13.0,9,34.8,6,80.0,13,21.8,18,73.3,13,-6.5,19
Jujuy,12,51.7,12,10.5,11,13.8,18,85.5,17,26.6,20,28.9,6,1.0,4
Río Negro,13,64.4,20,5.4,18,33.3,7,74.1,3,14.8,13,73.1,12,-2.7,16
Santa Fe,14,51.9,13,15.1,4,32.7,8,85.0,16,15.7,15,78.9,15,-5.7,18
Entre Ríos,15,62.6,17,5.3,19,25.2,13,69.7,2,19.1,17,67.6,10,-2.1,14
Buenos Aires,16,51.6,11,8.1,14,48.5,3,74.9,5,45.2,23,80.9,16,-6.6,21
Salta,17,57.5,15,6.4,16,24.3,14,89.3,20,13.4,12,74.9,14,2.5,3
Tucumán,18,57.5,14,3.2,21,27.6,12,80.0,12,3.6,7,100.0,22,-1.7,11
Santa Cruz,19,69.1,22,1.3,23,38.5,5,90.1,21,2.5,5,2.5,4,-6.5,20
La Rioja,20,51.4,10,5.7,17,11.1,21,79.7,10,38.7,22,90.8,19,-1.3,9
Tierra del Fuego,21,64.5,21,3.1,22,28.4,11,51.7,1,8.6,9,92.5,21,-18.9,23
Chubut,22,70.5,23,9.0,13,45.7,4,79.8,11,24.1,19,91.6,20,-8.3,22
Chaco,23,63.1,19,5.2,20,11.9,20,81.9,15,15.1,14,65.4,8,-4.2,17
