province,total_income_ars_m,personnel_ars_m,social_security_spending_ars_m,interest_ars_m,cutoff,window,source
Buenos Aires,36857309,15758825,7298098,1416307,2026-03-31,LTM,"Provincias 1T26, p. 8"
CABA,14296692,6196814,0,109512,2026-03-31,LTM,"Provincias 1T26, p. 8"
Córdoba,12707018,4409585,2463689,216696,2026-03-31,LTM,"Provincias 1T26, p. 8"
Santa Fe,11275070,4994977,2198858,85892,2026-03-31,LTM,"Provincias 1T26, p. 8"
Neuquén,7984566,4006297,1504481,89362,2026-03-31,LTM,"Provincias 1T26, p. 8"
Entre Ríos,5127195,2344084,1339961,151164,2026-03-31,LTM,"Provincias 1T26, p. 8"
Mendoza,4736843,2124881,0,151239,2026-03-31,LTM,"Provincias 1T26, p. 8"
Chaco,4368540,2146550,940543,206282,2026-03-31,LTM,"Provincias 1T26, p. 8"
Tucumán,4308020,2481889,0,64966,2026-03-31,LTM,"Provincias 1T26, p. 8"
Misiones,3909431,1477855,448561,3538,2026-03-31,LTM,"Provincias 1T26, p. 8"
Santiago del Estero,3725197,1220946,0,1652,2026-03-31,LTM,"Provincias 1T26, p. 8"
Salta,3490246,1913852,0,76046,2026-03-31,LTM,"Provincias 1T26, p. 8"
Corrientes,3314794,1610963,595495,5310,2026-03-31,LTM,"Provincias 1T26, p. 8"
Formosa,2942779,1204779,474101,1757,2026-03-31,LTM,"Provincias 1T26, p. 8"
Chubut,2890308,1692663,624143,102306,2026-03-31,LTM,"Provincias 1T26, p. 8"
San Juan,2688450,1386393,0,16525,2026-03-31,LTM,"Provincias 1T26, p. 8"
Río Negro,2653902,1725665,0,43161,2026-03-31,LTM,"Provincias 1T26, p. 8"
Santa Cruz,2505587,1327992,741240,6840,2026-03-31,LTM,"Provincias 1T26, p. 8"
Jujuy,2484159,1245185,0,49396,2026-03-31,LTM,"Provincias 1T26, p. 8"
Catamarca,2064024,1046516,0,4451,2026-03-31,LTM,"Provincias 1T26, p. 8"
San Luis,1855510,730012,0,0,2026-03-31,LTM,"Provincias 1T26, p. 8"
Tierra del Fuego,1445672,915612,284519,14502,2026-03-31,LTM,"Provincias 1T26, p. 8"
La Rioja,1437642,744823,0,8876,2026-03-31,LTM,"Provincias 1T26, p. 8"
