report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Buenos Aires,2017,27,41.3,0.0,25.8,16.5,16.4,100.0,47.3,21.7,8.1,18.0,5.0,100.2,-0.2,-3.2,-3.4
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Buenos Aires,2018,27,40.1,0.0,31.2,17.0,11.7,100.0,45.8,21.2,6.3,18.7,5.2,97.3,2.7,-6.2,-3.6
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Buenos Aires,2019,27,37.2,0.0,36.3,16.2,10.2,100.0,43.4,23.7,5.2,19.0,5.6,96.8,3.2,-7.3,-4.2
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Buenos Aires,2020,27,34.5,0.0,37.1,15.4,13.0,100.0,43.3,27.5,5.0,19.5,5.3,100.5,-0.5,-3.1,-3.6
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Catamarca,2017,28,9.5,0.9,70.8,0.0,18.8,100.0,48.6,25.2,16.9,0.0,6.3,97.1,2.9,-0.8,2.2
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Catamarca,2018,28,8.8,0.4,72.8,0.0,18.1,100.0,46.4,24.6,12.1,0.0,6.0,89.1,10.9,-1.0,9.9
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Catamarca,2019,28,8.7,1.2,73.9,0.0,16.2,100.0,51.4,26.7,8.3,0.0,5.5,91.9,8.1,-1.0,7.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Catamarca,2020,28,8.3,0.5,79.0,0.0,12.2,100.0,51.4,31.8,10.9,0.0,5.3,99.4,0.6,-0.9,-0.2
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,CABA,2017,29,69.7,0.0,20.6,0.0,9.8,100.0,48.2,10.0,23.2,0.0,22.6,103.9,-3.9,-3.5,-7.3
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,CABA,2018,29,68.5,0.0,22.6,0.0,8.9,100.0,44.9,9.2,19.4,0.0,21.6,95.1,4.9,-5.8,-0.9
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,CABA,2019,29,66.1,0.0,23.8,0.0,10.1,100.0,45.8,11.4,18.1,0.0,20.4,95.7,4.3,-9.1,-4.8
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,CABA,2020,29,71.3,0.0,22.2,0.0,6.5,100.0,51.2,14.3,11.7,0.0,24.1,101.3,-1.3,-7.9,-9.2
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Córdoba,2017,30,25.9,0.0,41.3,16.0,16.8,100.0,36.5,19.9,17.3,20.5,7.9,101.9,-1.9,-1.7,-3.7
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Córdoba,2018,30,26.0,0.0,42.9,15.3,15.8,100.0,36.1,20.9,21.0,20.6,8.1,106.7,-6.7,-2.5,-9.1
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Córdoba,2019,30,24.5,0.0,43.9,15.6,16.1,100.0,36.2,21.1,11.0,21.3,8.1,97.7,2.3,-3.4,-1.2
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Córdoba,2020,30,28.1,0.0,45.5,14.8,11.5,100.0,36.1,20.1,6.2,20.6,8.8,91.8,8.2,-3.0,5.3
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Corrientes,2017,31,11.1,0.7,60.9,14.4,12.9,100.0,47.7,13.2,15.0,16.8,11.3,104.0,-4.0,-0.5,-4.5
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Corrientes,2018,31,11.2,0.3,64.9,13.8,9.8,100.0,46.7,14.3,13.6,17.3,11.2,103.1,-3.1,-1.5,-4.6
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Corrientes,2019,31,10.4,0.0,67.1,13.1,9.3,100.0,44.5,15.1,13.0,16.6,11.9,101.1,-1.1,-2.0,-3.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Corrientes,2020,31,10.2,0.0,68.4,13.4,8.0,100.0,46.1,14.9,12.8,17.0,14.3,105.1,-5.1,-0.7,-5.8
