dataset,province,first_period,last_period,months_count,expected_through,coverage_status
recaudacion_propia_2026,Buenos Aires,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Buenos Aires,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,CABA,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,CABA,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Catamarca,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Catamarca,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Chaco,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Chaco,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Chubut,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Chubut,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Corrientes,2026-01,2026-05,5,2026-07,rezagada
transferencias_nacion_2026,Corrientes,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Córdoba,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Córdoba,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Entre Ríos,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Entre Ríos,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Formosa,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Formosa,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Jujuy,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Jujuy,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,La Pampa,2026-01,2026-05,5,2026-07,rezagada
transferencias_nacion_2026,La Pampa,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,La Rioja,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,La Rioja,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Mendoza,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Mendoza,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Misiones,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Misiones,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Neuquén,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Neuquén,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Río Negro,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Río Negro,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Salta,2026-01,2026-05,5,2026-07,rezagada
transferencias_nacion_2026,Salta,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,San Juan,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,San Juan,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,San Luis,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,San Luis,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Santa Cruz,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Santa Cruz,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Santa Fe,2026-01,2026-05,5,2026-07,rezagada
transferencias_nacion_2026,Santa Fe,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Santiago del Estero,2026-01,2026-07,7,2026-07,completa
transferencias_nacion_2026,Santiago del Estero,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Tierra del Fuego,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Tierra del Fuego,2026-01,2026-07,7,2026-07,completa
recaudacion_propia_2026,Tucumán,2026-01,2026-06,6,2026-07,rezagada
transferencias_nacion_2026,Tucumán,2026-01,2026-07,7,2026-07,completa
