year,amortization_ars_m,interest_ars_m,total_service_ars_m,valuation_date,status,source,period_label
2026,995864,683125,1678989,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",Jul–dic 2026
2027,1945000,1120573,3065573,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2027
2028,1985691,903908,2889600,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2028
2029,1427107,745550,2172657,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2029
2030,1496156,660832,2156988,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2030
2031,1158914,577270,1736185,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2031
2032,1178899,505874,1684773,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2032
2033,1193786,432036,1625823,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2033
2034,1216111,357520,1573631,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2034
2035,1247045,281098,1528143,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2035
2036,1276703,202837,1479540,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2036
2037,1307039,122160,1429199,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2037
2038,136614,58768,195382,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2038
2039,112530,51629,164159,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2039
2040,111936,45791,157726,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2040
2041,111936,39712,151647,2026-06-30,official_schedule,"Informe de Deuda PBA al 30/06/2026, p. 6",2041
