province,cutoff,window,denominator,personnel_pct,social_security_spending_pct,interest_pct,observed_floor_pct,automatic_transfers_pct,total_rigid_pct,evidence_status,source,note
Buenos Aires,2026-03-31,LTM,ingresos_totales,42.756309,19.800952,3.842676,66.399937,13.342013,79.741950,auditado_ampliado,Provincias 1T26 p.8 + Transferencias a Municipios PBA abr-2025/mar-2026,"Piso comparable más transferencias legales mensuales a municipios; no equivale a caja libre ni al gasto rígido total."
CABA,2026-03-31,LTM,ingresos_totales,43.344390,0.000000,0.765995,44.110386,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Córdoba,2026-03-31,LTM,ingresos_totales,34.701965,19.388412,1.705325,55.795703,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Santa Fe,2026-03-31,LTM,ingresos_totales,44.301073,19.501945,0.761787,64.564805,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Neuquén,2026-03-31,LTM,ingresos_totales,50.175514,18.842364,1.119184,70.137062,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Entre Ríos,2026-03-31,LTM,ingresos_totales,45.718643,26.134387,2.948279,74.801309,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Mendoza,2026-03-31,LTM,ingresos_totales,44.858590,0.000000,3.192823,48.051413,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Chaco,2026-03-31,LTM,ingresos_totales,49.136554,21.529916,4.721989,75.388459,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Tucumán,2026-03-31,LTM,ingresos_totales,57.610898,0.000000,1.508025,59.118922,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Misiones,2026-03-31,LTM,ingresos_totales,37.802304,11.473818,0.090499,49.366621,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Santiago del Estero,2026-03-31,LTM,ingresos_totales,32.775340,0.000000,0.044347,32.819687,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Salta,2026-03-31,LTM,ingresos_totales,54.834301,0.000000,2.178815,57.013116,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Corrientes,2026-03-31,LTM,ingresos_totales,48.599189,17.964766,0.160191,66.724146,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Formosa,2026-03-31,LTM,ingresos_totales,40.940179,16.110656,0.059705,57.110541,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Chubut,2026-03-31,LTM,ingresos_totales,58.563413,21.594342,3.539623,83.697378,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
San Juan,2026-03-31,LTM,ingresos_totales,51.568487,0.000000,0.614666,52.183154,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Río Negro,2026-03-31,LTM,ingresos_totales,65.023690,0.000000,1.626322,66.650012,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Santa Cruz,2026-03-31,LTM,ingresos_totales,53.001233,29.583487,0.272990,82.857710,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Jujuy,2026-03-31,LTM,ingresos_totales,50.125012,0.000000,1.988440,52.113452,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Catamarca,2026-03-31,LTM,ingresos_totales,50.702705,0.000000,0.215647,50.918352,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
San Luis,2026-03-31,LTM,ingresos_totales,39.342930,0.000000,0.000000,39.342930,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
Tierra del Fuego,2026-03-31,LTM,ingresos_totales,63.334698,19.680744,1.003132,84.018574,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
La Rioja,2026-03-31,LTM,ingresos_totales,51.808656,0.000000,0.617400,52.426056,,,auditado_base,Provincias 1T26 p.8,"Piso comparable: personal + seguridad social + intereses. Transferencias municipales automáticas no comparables públicamente."
