province,security_rate_2024,security_rate_2025,security_change_pct,source_security,education_language_high_2024,education_math_high_2024,education_language_high_2022,education_math_high_2022,education_student_participation_pct,education_school_participation_pct,source_education,health_infant_mortality_2022,health_infant_mortality_2023,health_infant_mortality_2024,health_infant_mortality_avg_2022_2024,population_2024,source_health,nbi_households_pct_2010,nbi_households_pct_2022,nbi_housing_pct_2022,nbi_sanitary_pct_2022,nbi_overcrowding_pct_2022,spend_security_pc_2024,spend_health_pc_2024,spend_education_culture_pc_2024,spend_social_assistance_pc_2024,education_rank_eligible,source_social,source_spending
Buenos Aires,4.70414215779919,4.44294830150959,-5.552422684687697,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_06&start_date=2024-01-01&limit=10,57.2,16.9,57.1,17.1,61.1,97.1,https://www.argentina.gob.ar/sites/default/files/2025/07/buenos_aires_2024.pdf,7.9,7.6,8.4,7.966666666666666,17431446,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,8.2,6.3,2.8,0.6,2.6,154825.17629346412,125435.77817323703,397908.9634325621,62623.97852708261,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
CABA,2.61819451245824,2.53273560772991,-3.264039563206178,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_02&start_date=2024-01-01&limit=10,71.2,34.8,70.8,37.2,67.9,93.0,https://www.argentina.gob.ar/sites/default/files/2025/07/ciudad_autonoma_de_buenos_aires_2024.pdf,6.0,5.5,4.9,5.466666666666666,3093735,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,6.0,4.8,3.5,0.2,1.0,431910.1358451419,524626.7836749591,666637.7443613334,272951.6697893711,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Catamarca,1.82853799244814,1.36666788148256,-25.258983563541104,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_10&start_date=2024-01-01&limit=10,45.4,8.6,49.2,8.3,70.5,94.8,https://www.argentina.gob.ar/sites/default/files/2025/07/catamarca_2024.pdf,5.9,8.7,8.0,7.533333333333334,437508,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,11.4,6.9,1.7,1.7,2.8,166051.454673606,300185.85591008625,653292.0242075117,138561.65176120208,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Chaco,4.74664175096119,4.30603308358341,-9.282534694946321,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_22&start_date=2024-01-01&limit=10,43.9,8.2,41.9,7.3,67.6,95.0,https://www.argentina.gob.ar/sites/default/files/2025/07/chaco_2024.pdf,10.9,9.5,11.8,10.733333333333334,1200849,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,18.2,11.2,4.6,2.0,3.5,154549.4256091732,245619.20696065028,659006.0465822513,81147.57864716546,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Chubut,4.66143032659979,3.48635672402,-25.20843432700043,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_26&start_date=2024-01-01&limit=10,60.2,17.6,61.1,18.0,64.2,96.3,https://www.argentina.gob.ar/sites/default/files/2025/07/chubut_2024.pdf,8.4,5.2,5.3,6.3,600674,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,8.5,5.1,2.0,0.5,2.3,242735.623466789,377771.74206612905,715305.2083090993,48919.328272673694,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Corrientes,2.75201814664087,0.913693356203355,-66.79915220331615,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_18&start_date=2024-01-01&limit=10,51.3,10.7,49.5,10.2,79.7,99.1,https://www.argentina.gob.ar/sites/default/files/2025/07/corrientes_2024.pdf,13.6,11.6,14.0,13.066666666666668,1199120,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,15.2,11.8,5.3,1.4,4.3,180250.30022016144,245240.91000066715,418035.1507772366,52887.4174394556,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Córdoba,2.96481073737884,2.42573400563225,-18.182500655106992,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_14&start_date=2024-01-01&limit=10,63.7,24.1,64.9,25.9,88.8,98.8,https://www.argentina.gob.ar/sites/default/files/2025/07/cordoba_2024.pdf,7.5,7.5,6.8,7.266666666666667,3946289,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,6.0,4.3,1.1,0.6,2.1,210786.00092340293,175479.65236994738,414933.41813311196,55782.492418623704,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Entre Ríos,3.36534994488381,2.33007260232103,-30.76284367207237,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_30&start_date=2024-01-01&limit=10,61.3,18.2,58.0,17.0,73.2,94.5,https://www.argentina.gob.ar/sites/default/files/2025/07/entre_rios_2024.pdf,10.8,9.5,8.8,9.700000000000001,1456015,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,8.1,6.0,2.6,0.8,2.3,192294.76302667893,300515.8169263315,490335.8151509577,72172.08394096028,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Formosa,3.36290016510238,3.0320003702232,-9.839715086192758,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_34&start_date=2024-01-01&limit=10,46.2,11.4,44.5,9.2,77.5,99.6,https://www.argentina.gob.ar/sites/default/files/2025/07/formosa_2024.pdf,15.1,10.2,10.7,12.0,624461,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,19.8,11.7,4.2,1.8,5.1,188919.36695252388,418578.5615563181,490768.03720222716,132647.4731641047,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Jujuy,2.00332301204623,3.74651574036146,87.01506036885691,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_38&start_date=2024-01-01&limit=10,52.7,15.9,53.0,13.9,76.8,96.5,https://www.argentina.gob.ar/sites/default/files/2025/07/jujuy_2024.pdf,7.9,7.2,6.0,7.033333333333334,798673,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,15.5,10.9,4.3,1.8,3.9,187860.31492361712,257360.8438116476,449335.4740060574,50946.31132210555,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
