Provincia,Revisión,Presupuesto vigente,Corte del presupuesto,Caja libre,Calendario futuro,Documentos consultados
Buenos Aires,2026-09-07,Contaduría publica gasto devengado APNF a junio de 2026. Los cuadros revisados no contienen el crédito vigente total.,,"Faltan saldos bancarios conciliados, fondos afectados y pagos exigibles a una misma fecha.",Calendario incorporado: Perfil oficial de deuda provincial. Valuado al 31/12/2025. Es el calendario publicado para todo el año; no descuenta pagos posteriores.,https://www.cgp.gba.gov.ar/static/ejecucion/2026/06/images/Cuerpo.htm | https://www.cgp.gba.gov.ar/static/ejecucion/2026/06/cuadros/guias/TOMO_I/Html/APNF_Econ2.htm
CABA,2026-09-07,Crédito vigente incorporado al 2026-06-30. Cobertura: Administración Central y organismos descentralizados.,2026-06-30,El presupuesto ejecutado no informa caja libre conciliada.,"El portal enlaza un perfil al 30/06/2026, pero la descarga devuelve 404. No significa que la Ciudad carezca de calendario.",https://data.buenosaires.gob.ar/es_AR/dataset/presupuesto-ejecutado-2026 | https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ministerio-de-economia-y-finanzas/presupuesto-ejecutado-2026/presupuesto-ejecutado-2026-2.xlsx | https://buenosaires.gob.ar/gcaba_historico/direccion-general-de-credito-publico/stock-y-perfiles-de-vencimientos
Catamarca,2026-09-07,Crédito vigente incorporado al 2026-08-31. Cobertura: Administración Provincial; sin figurativos ni aplicaciones financieras.,2026-08-31,La recaudación y el pagado acumulados no son saldos bancarios disponibles.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://api-portal.catamarca.gob.ar/media/cms/archivos/GASTOS_AGOSTO_2026.csv | https://api-portal.catamarca.gob.ar/media/cms/archivos/RECURSOS_AGOSTO_2026.csv
Chaco,2026-09-07,Se verificó AIF devengado al primer trimestre de 2026; no acredita el crédito vigente ni su programación.,,"La planilla incluye movimientos de caja, remanentes y deuda flotante. Son flujos y conceptos distintos: no se suman como caja libre.",No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://hacienda.chaco.gov.ar/secciones/1 | https://hacienda.chaco.gov.ar/uploads/archivos/CAIF%20-%20Primer%20trimestre%202026.pdf
Chubut,2026-09-07,"Crédito vigente incorporado al 2026-03-31. Cobertura: Administración Provincial, incluido ISSyS.",2026-03-31,El AIF permite leer crédito y ejecución; no concilia fondos utilizables con obligaciones exigibles.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://economia.chubut.gov.ar/cprf-infopresprov/ | https://economia.chubut.gov.ar/wp-content/uploads/2026/07/Marzo-2026.xls
Corrientes,2026-09-07,El portal de Contaduría mostró un error de conexión al consultar sus publicaciones. No se pudo verificar el crédito vigente.,,No se obtuvo una conciliación de Tesorería utilizable.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://www.cgpcorrientes.gob.ar/publicaciones-component
Córdoba,2026-09-07,Crédito vigente incorporado al 2026-03-31. Cobertura: Administración General Centralizada (cobertura parcial de la provincia).,2026-03-31,Separar rentas generales de recursos afectados no basta: faltan bancos conciliados y pagos exigibles.,"Calendario incorporado: Administración Central + ACIF · Presupuesto 2026. Proyección presupuestaria actualizada el 02/01/2026, expresada en pesos. Incluye gastos junto con intereses. No descuenta los pagos posteriores.",https://economiaygestionpublica.cba.gov.ar/publicacion/ejecucion-presupuestaria/ | https://economiaygestionpublica.cba.gov.ar/download/12413/
Entre Ríos,2026-09-07,El portal muestra ejecuciones hasta julio de 2026; en la consulta no expuso enlaces de descarga utilizables para conciliar crédito vigente.,,El calendario presupuestario de deuda no informa el saldo de caja libre.,Calendario incorporado: Sector Público No Financiero Provincial · Presupuesto plurianual 2026–2028. Proyección orientativa presentada el 28/11/2025. Unidad conciliada con el presupuesto oficial 2026; incluye otros pasivos y gastos. No equivale a deuda pendiente de hoy ni descuenta pagos posteriores.,https://portal.entrerios.gov.ar/haciendayfinanzas/contaduriageneral/ps/esquemaAIFSPNF/5187
Formosa,2026-09-07,El informe acumulado al segundo trimestre de 2026 contiene devengado y deuda; no acredita crédito vigente. La página de proyecciones plurianuales examinada corresponde a 2010–2012.,,"No se obtuvo el detalle conjunto de bancos, afectaciones y pagos exigibles.",No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://www.formosa.gob.ar/haciendayfinanzas/responsabilidadfiscal/informes | https://archivos.formosa.gob.ar/media/uploads/documentos/documento_89c3da12eb97f95ea22e2b68ed2198db.pdf | https://www.formosa.gob.ar/haciendayfinanzas/presupuesto/proyecciones
Jujuy,2026-09-07,Se verificó AIF devengado de 2026. La planilla de proyección plurianual enlazada en el portal corresponde a 2017; no se usa como crédito vigente 2026.,,Un resultado fiscal positivo no permite identificar dinero libre.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://hacienda.jujuy.gob.ar/egresos-publicos/ | https://hacienda.jujuy.gob.ar/wp-content/uploads/2026/02/Trim-II-Planilla-I.1.Devengado.pdf
