provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Buenos Aires,Víctimas de homicidio doloso,homicide_rate,Seguridad,4.44294830150959,2025,cada 100.000 habitantes,2.88960391691822,24,3.67,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_06&start_date=2024-01-01&limit=10,
Buenos Aires,Lengua · satisfactorio o avanzado,language_high,Educación,57.2,Aprender Secundaria 2024,%,54.65,22,57.2,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/buenos_aires_2024.pdf,"La participación estudiantil fue 61,1%. El ranking conserva esta cobertura visible."
Buenos Aires,Matemática · satisfactorio o avanzado,math_high,Educación,16.9,Aprender Secundaria 2024,%,16.25,22,16.9,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/buenos_aires_2024.pdf,"La participación estudiantil fue 61,1%. El ranking conserva esta cobertura visible."
Buenos Aires,Mortalidad infantil,infant_mortality,Salud,8.4,2024,cada 1.000 nacidos vivos,8.25,24,8.32,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
CABA,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.53273560772991,2025,cada 100.000 habitantes,2.88960391691822,24,2.53,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_02&start_date=2024-01-01&limit=10,
CABA,Lengua · satisfactorio o avanzado,language_high,Educación,71.2,Aprender Secundaria 2024,%,54.65,22,71.2,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/ciudad_autonoma_de_buenos_aires_2024.pdf,"La participación estudiantil fue 67,9%. El ranking conserva esta cobertura visible."
CABA,Matemática · satisfactorio o avanzado,math_high,Educación,34.8,Aprender Secundaria 2024,%,16.25,22,34.8,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/ciudad_autonoma_de_buenos_aires_2024.pdf,"La participación estudiantil fue 67,9%. El ranking conserva esta cobertura visible."
CABA,Mortalidad infantil,infant_mortality,Salud,4.9,2024,cada 1.000 nacidos vivos,8.25,24,4.9,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Catamarca,Víctimas de homicidio doloso,homicide_rate,Seguridad,1.36666788148256,2025,cada 100.000 habitantes,2.88960391691822,24,1.37,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_10&start_date=2024-01-01&limit=10,
Catamarca,Lengua · satisfactorio o avanzado,language_high,Educación,45.4,Aprender Secundaria 2024,%,54.65,22,50.02,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/catamarca_2024.pdf,"La participación estudiantil fue 70,5%. El ranking conserva esta cobertura visible."
