provincia,area,indicador,valor_base,unidad_y_lectura,periodo_base,fuente,nota_cobertura,meta,fecha_objetivo,responsable,frecuencia_seguimiento,fuente_seguimiento
Buenos Aires,Seguridad,Víctimas de homicidio doloso,4.44294830150959,"4,4 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_06&start_date=2024-01-01&limit=10,,,,,,
Buenos Aires,Educación,Lengua · satisfactorio o avanzado,57.2,"57,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/buenos_aires_2024.pdf,"La participación estudiantil fue 61,1%. El ranking conserva esta cobertura visible.",,,,,
Buenos Aires,Educación,Matemática · satisfactorio o avanzado,16.9,"16,9%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/buenos_aires_2024.pdf,"La participación estudiantil fue 61,1%. El ranking conserva esta cobertura visible.",,,,,
Buenos Aires,Salud,Mortalidad infantil,8.4,"8,4 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
CABA,Seguridad,Víctimas de homicidio doloso,2.53273560772991,"2,5 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_02&start_date=2024-01-01&limit=10,,,,,,
CABA,Educación,Lengua · satisfactorio o avanzado,71.2,"71,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/ciudad_autonoma_de_buenos_aires_2024.pdf,"La participación estudiantil fue 67,9%. El ranking conserva esta cobertura visible.",,,,,
CABA,Educación,Matemática · satisfactorio o avanzado,34.8,"34,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/ciudad_autonoma_de_buenos_aires_2024.pdf,"La participación estudiantil fue 67,9%. El ranking conserva esta cobertura visible.",,,,,
CABA,Salud,Mortalidad infantil,4.9,"4,9 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Catamarca,Seguridad,Víctimas de homicidio doloso,1.36666788148256,"1,4 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_10&start_date=2024-01-01&limit=10,,,,,,
Catamarca,Educación,Lengua · satisfactorio o avanzado,45.4,"45,4%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/catamarca_2024.pdf,"La participación estudiantil fue 70,5%. El ranking conserva esta cobertura visible.",,,,,
Catamarca,Educación,Matemática · satisfactorio o avanzado,8.6,"8,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/catamarca_2024.pdf,"La participación estudiantil fue 70,5%. El ranking conserva esta cobertura visible.",,,,,
Catamarca,Salud,Mortalidad infantil,8.0,"8,0 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Chaco,Seguridad,Víctimas de homicidio doloso,4.30603308358341,"4,3 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_22&start_date=2024-01-01&limit=10,,,,,,
Chaco,Educación,Lengua · satisfactorio o avanzado,43.9,"43,9%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/chaco_2024.pdf,"La participación estudiantil fue 67,6%. El ranking conserva esta cobertura visible.",,,,,
Chaco,Educación,Matemática · satisfactorio o avanzado,8.2,"8,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/chaco_2024.pdf,"La participación estudiantil fue 67,6%. El ranking conserva esta cobertura visible.",,,,,
Chaco,Salud,Mortalidad infantil,11.8,"11,8 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Chubut,Seguridad,Víctimas de homicidio doloso,3.48635672402,"3,5 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_26&start_date=2024-01-01&limit=10,,,,,,
Chubut,Educación,Lengua · satisfactorio o avanzado,60.2,"60,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/chubut_2024.pdf,"La participación estudiantil fue 64,2%. El ranking conserva esta cobertura visible.",,,,,
Chubut,Educación,Matemática · satisfactorio o avanzado,17.6,"17,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/chubut_2024.pdf,"La participación estudiantil fue 64,2%. El ranking conserva esta cobertura visible.",,,,,
Chubut,Salud,Mortalidad infantil,5.3,"5,3 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Corrientes,Seguridad,Víctimas de homicidio doloso,0.913693356203355,"0,9 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_18&start_date=2024-01-01&limit=10,,,,,,
Corrientes,Educación,Lengua · satisfactorio o avanzado,51.3,"51,3%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/corrientes_2024.pdf,"La participación estudiantil fue 79,7%. El ranking conserva esta cobertura visible.",,,,,
Corrientes,Educación,Matemática · satisfactorio o avanzado,10.7,"10,7%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/corrientes_2024.pdf,"La participación estudiantil fue 79,7%. El ranking conserva esta cobertura visible.",,,,,
Corrientes,Salud,Mortalidad infantil,14.0,"14,0 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Córdoba,Seguridad,Víctimas de homicidio doloso,2.42573400563225,"2,4 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_14&start_date=2024-01-01&limit=10,,,,,,
