province,period,period_type,amortization_ars_m,interest_ars_m,total_ars_m,source_url
Buenos Aires,2005,year,1752.3985829551295,490.121341006299,2242.5199239614285,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2006,year,2496.7322538926796,758.3436364354451,3255.075890328125,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2007,year,2787.464260638717,900.7457657048867,3688.2100263436037,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2008,year,2956.422239203704,1005.2787890208446,3961.7010282245487,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2009,year,2811.3921037542755,1303.6272438209517,4115.019347575228,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2010,year,2889.8504272907685,1920.799336323224,4810.649763613992,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2011,year,2352.5602464592675,2294.4334146513593,4646.993661110627,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2012,year,2982.86876021755,3582.3754269761266,6565.244187193677,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2013,year,7689.762492465587,4158.140835250952,11847.903327716538,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2014,year,6099.906571609292,6438.48597000716,12538.392541616453,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2015,year,16960.821591423402,9205.924032518038,26166.74562394144,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2016,year,11251.76367102036,14177.194788452329,25428.95845947269,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
Buenos Aires,2017,year,19657.88896486282,17140.177083818962,36798.06604868178,https://www.argentina.gob.ar/sites/default/files/servicios_provincia_de_buenos_aires_iv_trim_25_1.xlsx
