province,period,tax,value_millions,price_basis,evidence_status,source_file,source_url
Buenos Aires,2026-01,Automotores,27384.1503797974,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-01,Iibb,1086193.5263529173,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-01,Inmobiliario,26695.321542420672,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-01,Otros,31266.52186125438,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-01,Sellos,142812.81268369997,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-02,Automotores,18634.38866591076,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-02,Iibb,961709.4347713892,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-02,Inmobiliario,177086.64478417134,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-02,Otros,36016.228239241114,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-02,Sellos,126193.6922753,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-03,Automotores,120929.4187674624,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-03,Iibb,944164.5388093963,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-03,Inmobiliario,129891.38239586934,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Buenos Aires,2026-03,Otros,39482.38123604626,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
