period,ipc_mom,ipc_index,factor_to_latest
2011-12,,100.000000,224.963338
2012-12,0.095000,109.500000,205.445971
2013-12,0.108000,121.326000,185.420551
2014-12,0.109000,134.550534,167.196169
2015-01,0.011000,136.030590,165.377022
2015-02,0.011000,137.526926,163.577668
2015-03,0.009000,138.764668,162.118601
2015-04,0.013000,140.568609,160.038105
2015-05,0.011000,142.114864,158.296840
2015-06,0.010000,143.536013,156.729544
2015-07,0.010000,144.971373,155.177766
2015-08,0.013000,146.856001,153.186344
2015-09,0.012000,148.618273,151.369905
2015-10,0.012000,150.401692,149.575005
2015-11,0.011000,152.056111,147.947581
2015-12,0.016000,154.489009,145.617698
2016-01,0.012000,156.342877,143.891006
2016-02,0.013000,158.375334,142.044429
2016-03,0.025000,162.334717,138.579931
2016-04,0.024000,166.230750,135.331964
2016-05,0.026000,170.552750,131.902498
2016-06,0.042000,177.715966,126.585891
2016-07,0.031000,183.225161,122.779719
2016-08,0.021000,187.072889,120.254378
2016-09,0.002000,187.447035,120.014349
2016-10,0.012000,189.696399,118.591254
2016-11,0.024000,194.249113,115.811771
2016-12,0.016000,197.357099,113.987964
2017-01,0.012000,199.725384,112.636328
2017-02,0.013000,202.321814,111.190847
2017-03,0.025000,207.379859,108.478875
2017-04,0.024000,212.356976,105.936401
2017-05,0.026000,217.878257,103.251853
2017-06,0.013000,220.710674,101.926805
2017-07,0.014000,223.800623,100.519532
2017-08,0.017000,227.605234,98.839264
2017-09,0.015000,231.019313,97.378585
2017-10,0.020000,235.639699,95.469201
2017-11,0.013000,238.703015,94.244029
2017-12,0.012000,241.567451,93.126511
2018-01,0.034000,249.780744,90.064324
2018-02,0.016000,253.777236,88.645988
2018-03,0.026000,260.375444,86.399598
2018-04,0.025000,266.884830,84.292291
2018-05,0.026000,273.823836,82.156229
2018-06,0.019000,279.026489,80.624366
2018-07,0.039000,289.908522,77.598043
2018-08,0.028000,298.025961,75.484477
2018-09,0.041000,310.245025,72.511505
2018-10,0.066000,330.721197,68.022050
2018-11,0.051000,347.587978,64.721266
2018-12,0.029000,357.668029,62.897245
2019-01,0.028000,367.682734,61.184091
2019-02,0.028000,377.977851,59.517598
2019-03,0.038000,392.341009,57.338727
2019-04,0.048000,411.173377,54.712525
2019-05,0.032000,424.330925,53.016013
2019-06,0.030000,437.060853,51.471857
2019-07,0.026000,448.424435,50.167502
2019-08,0.021000,457.841348,49.135653
2019-09,0.039000,475.697161,47.291293
2019-10,0.058000,503.287596,44.698765
2019-11,0.032000,519.392799,43.312756
2019-12,0.041000,540.687904,41.606875
2020-01,0.038000,561.234044,40.083694
2020-02,0.019000,571.897491,39.336304
2020-03,0.018000,582.191646,38.640771
2020-04,0.036000,603.150545,37.298041
2020-05,0.014000,611.594653,36.783078
2020-06,0.015000,620.768573,36.239486
2020-07,0.020000,633.183944,35.528908
2020-08,0.016000,643.314887,34.969397
2020-09,0.028000,661.327704,34.016923
2020-10,0.028000,679.844880,33.090392
2020-11,0.036000,704.319296,31.940533
2020-12,0.030000,725.448875,31.010226
2021-01,0.037000,752.290483,29.903786
2021-02,0.033000,777.116069,28.948486
2021-03,0.036000,805.092247,27.942554
2021-04,0.052000,846.957044,26.561363
2021-05,0.041000,881.682283,25.515239
2021-06,0.034000,911.659481,24.676246
2021-07,0.031000,939.920925,23.934283
2021-08,0.031000,969.058474,23.214630
2021-09,0.026000,994.253994,22.626345
2021-10,0.038000,1032.035646,21.798020
2021-11,0.038000,1071.253001,21.000019
2021-12,0.023000,1095.891820,20.527878
2022-01,0.041000,1140.823385,19.719383
2022-02,0.039000,1185.315497,18.979195
2022-03,0.046000,1239.840010,18.144546
2022-04,0.067000,1322.909291,17.005198
2022-05,0.062000,1404.929667,16.012427
2022-06,0.048000,1472.366291,15.279033
2022-07,0.055000,1553.346437,14.482496
2022-08,0.074000,1668.294073,13.484633
2022-09,0.070000,1785.074658,12.602461
2022-10,0.062000,1895.749287,11.866724
2022-11,0.063000,2015.181492,11.163428
2022-12,0.049000,2113.925385,10.641972
2023-01,0.051000,2221.735580,10.125568
2023-02,0.060000,2355.039715,9.552422
2023-03,0.066000,2510.472336,8.960997
2023-04,0.077000,2703.778706,8.320331
2023-05,0.084000,2930.896117,7.675582
2023-06,0.078000,3159.506014,7.120206
2023-07,0.060000,3349.076375,6.717176
2023-08,0.063000,3560.068187,6.319074
2023-09,0.124000,4001.516642,5.621952
2023-10,0.127000,4509.709256,4.988422
2023-11,0.083000,4884.015124,4.606115
2023-12,0.128000,5509.169060,4.083435
2024-01,0.255000,6914.007170,3.253733
2024-02,0.206000,8338.292647,2.697954
2024-03,0.132000,9438.947276,2.383352
2024-04,0.110000,10477.231476,2.147164
2024-05,0.088000,11399.227846,1.973496
2024-06,0.042000,11877.995416,1.893950
2024-07,0.046000,12424.383205,1.810660
2024-08,0.040000,12921.358533,1.741019
2024-09,0.042000,13464.055591,1.670844
2024-10,0.035000,13935.297537,1.614342
2024-11,0.027000,14311.550570,1.571901
2024-12,0.024000,14655.027784,1.535059
2025-01,0.027000,15050.713534,1.494702
2025-02,0.022000,15381.829232,1.462527
2025-03,0.024000,15750.993134,1.428249
2025-04,0.037000,16333.779880,1.377289
2025-05,0.028000,16791.125717,1.339775
2025-06,0.015000,17042.992603,1.319976
2025-07,0.016000,17315.680485,1.299189
2025-08,0.019000,17644.678414,1.274964
2025-09,0.019000,17979.927304,1.251192
2025-10,0.021000,18357.505777,1.225457
2025-11,0.023000,18779.728410,1.197905
2025-12,0.025000,19249.221620,1.168688
2026-01,0.029000,19807.449047,1.135751
2026-02,0.029000,20381.865069,1.103743
2026-03,0.034000,21074.848481,1.067449
2026-04,0.026000,21622.794542,1.040399
2026-05,0.021000,22076.873227,1.019000
2026-06,0.019000,22496.333818,1.000000
