province,source,sheet,year,period_type,period,category,value_millions,category_normalized
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,C.F.I. | Neta De | Ley Nº 26.075,972488.7258,CFI | Neta
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Compensación | Consenso Fiscal | II. a y b; II. d y e | (2),173124.265083,Compensación Consenso Fiscal
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,F.E.D.E.I.,206.868896222148,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,F.E.D.E.I.,196.30424611404703,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Financ. | Educativo | Ley Nº 26.075,168715.9232627251,Financiamiento Educativo
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Fondo | Compens. | de | Desequilib.,0.0,Fondo | Compens. | de | Desequilib.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2,18610.9396,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.,1935.0076,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906,0.0,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699,6326.6279,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Ley Nº 23.966 | Art. 30,1506.1852,Ley Nº 23.966 | Art. 30
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Ley Nº 24.464 | FO.NA.VI.,6333.6077000000005,Ley Nº 24.464 | FO.NA.VI.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Reg.Simplif. | P/Peq.Contrib. | Ley Nº 24.977 | Aart. 59 Inc. A,5378.2829,Reg.Simplif. | P/Peq.Contrib. | Ley Nº 24.977 | Aart. 59 Inc. A
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.,269.41966913693034,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Subtotal,1141204.649062725,Subtotal
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Subtotal,1141239.657462725,Subtotal
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Total | (1) + (2),1359359.689457198,Total | (1) + (2)
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Total | Recursos | Origen Nacional | (1),1186235.4243741978,Total | Recursos | Origen Nacional | (1)
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Transfer. | De Servicios | Ley | Nº 24.049,35.008399999999995,Transfer. | De Servicios | Ley | Nº 24.049
Buenos Aires,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Vialidad | Provincial,4232.5232000000005,Vialidad | Provincial
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,C.F.I. | Neta De | Ley Nº 26.075,729010.0978999999,CFI | Neta
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Compensación | Consenso Fiscal | II. a y b; II. d y e | (2),148392.22721399998,Compensación Consenso Fiscal
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,F.E.D.E.I.,0.0,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,F.E.D.E.I.,0.0,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Financ. | Educativo | Ley Nº 26.075,322094.0353197477,Financiamiento Educativo
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Fondo | Compens. | de | Desequilib.,0.0,Fondo | Compens. | de | Desequilib.
