Código;Municipio;Estado fiscal;Último cierre incorporado;Comparable junio 2026;Faltantes específicos;Revisión de portal;Alcance de la búsqueda
06007;Adolfo Alsina;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06014;Adolfo Gonzales Chaves;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06021;Alberti;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06028;Almirante Brown;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06077;Arrecifes;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06035;Avellaneda;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Agricultura, ganaderia y pesca;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06042;Ayacucho;Comparable a junio de 2026;2026-06-30;Sí;Gasto en personal: junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06049;Azul;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06056;Bahía Blanca;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06063;Balcarce;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06070;Baradero;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06084;Benito Juárez;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06091;Berazategui;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06098;Berisso;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Agricultura, ganaderia y pesca;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06105;Bolívar;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06112;Bragado;Comparable a junio de 2026;2026-08-31;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
