id;municipio;tema;estado;periodo;documentoNecesario;portal;revision
06007;Adolfo Alsina;Cuenta fiscal comparable;Incorporado;enero–junio 2026;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Presupuesto original 2026;Pendiente;2026;"Ordenanza de presupuesto 2026 aprobada y total de erogaciones; identificar los organismos incluidos.";https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Presupuesto vigente 2026;Incorporado;2026-06-30;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Saldo de tesorería;Pendiente;;Estado de tesorería conciliado: bancos, efectivo, valores y fondos afectados. El saldo total no equivale a caja libre.;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Caja libre;Pendiente;;Caja de libre disponibilidad conciliada, descontando fondos afectados y obligaciones exigibles.;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Stock de deuda municipal;Pendiente;;"Planilla de deuda consolidada y flotante, contratos, moneda y corte; separar pasivos contables y evitar sumarlos dos veces.";https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Calendario futuro de deuda;Pendiente;;"Planilla de vencimientos futuros de capital e intereses, por contrato y fecha; separar lo ya pagado del año.";https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Deuda con proveedores vencida;Pendiente;;Antigüedad y vencimiento de facturas pendientes, conciliados con la deuda flotante. Pendiente no significa vencida.;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Flujos fiscales mensuales;Pendiente;;"Ingresos percibidos y gastos devengados por mes, sin acumulación; necesarios para ajustar cada flujo por IPC.";https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Cierres fiscales anuales 2021–2025;Sin serie anual incorporada;;"CAIF de cierre anual 2021–2025 con los mismos organismos; no anualizar semestres.";https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Transferencias provinciales;Incorporado;2025-01 a 2026-07;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Empleo y salarios privados formales;Incorporado;2019-01 a 2025-12;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Población y condiciones de vida;Incorporado;Censo 2022;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Producto municipal;Incorporado;"2021–2023; precios 2004";;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
06007;Adolfo Alsina;Delitos registrados;Incorporado;2024–2025;;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;2026-09-11
