id,Municipio,Estado,Ejercicio,Fecha del documento o corte,Original ARS,Vigente ARS,Dato destacado,ARS por habitante Censo 2022,Población Censo 2022,Alcance,Nota,Documentos
06854,25 de Mayo,2026 verificado,2026,2026-03-31,,39900000000.00,current,1121952.59,35563.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://25demayo.gob.ar/informacion-economica/2026/1er-trimestre/Situacion%20Economico%20Financiera%20Primer%20Trimestre%202026.pdf
06588,9 de Julio,2026 verificado,2026,2026-03-31,,37542766163.46,current,713645.83,52607.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://www.9dejulio.gov.ar/pdf/gobierno-abierto/2026/Situacion_Economica_Financiera_1º_trimestre_2026.pdf
06007,Adolfo Alsina,2026 verificado,2026,2026-06-30,,32951301608.77,current,1877353.10,17552.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://gobabierto.ar/adolfoalsina/wp-content/uploads/2026/07/SitEcoFin_al-30-06.pdf
06014,Adolfo Gonzales Chaves,2026 verificado,2026,2026-06-30,,21102364153.18,current,1634068.77,12914.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://gonzaleschaves.gob.ar/wp-content/uploads/2026/07/archivo-1.pdf
06021,Alberti,2026 verificado,2026,2026-06-30,,19893262933.06,current,1532372.74,12982.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://res.cloudinary.com/dshbxjhtw/image/upload/v1787237623/SIT_ECO_FIN_30_06_fbd8a6a41d.pdf
06028,Almirante Brown,Pendiente,,,,,,,584827.0,,,
06077,Arrecifes,2026 verificado,2026,2026-06-30,,25664822254.25,current,796673.05,32215.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://arrecifes.gob.ar/wp-content/uploads/2026/07/Situacion-Economico-Financiera-Del-02-01-26-al-30-06-26.pdf
06035,Avellaneda,2026 verificado,2026,2026-06-30,,437190460702.49,current,1189459.13,367554.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://www.mda.gob.ar/wp-content/uploads/2018/08/balance-semestral-2026.pdf
06042,Ayacucho,2026 verificado,2026,2026-03-31,37919278802.67,38324870778.06,current,1743862.71,21977.0,Administración central de Ayacucho. Incluye transferencias figurativas al Hospital Municipal; no se suma nuevamente el presupuesto del hospital.,Autorización anual de gasto. El vigente incorpora las modificaciones hasta el corte indicado; no es caja disponible ni gasto ejecutado.,https://www.ayacucho.gob.ar/sites/default/files/1.c_presupuesto_gastos_por_objeto.pdf | https://www.ayacucho.gob.ar/sites/default/files/7._situacion_economico_financ._31-03-26.pdf
06049,Azul,2026 verificado,2026,2026-03-31,,82091627415.21,current,1081504.87,75905.0,El monto corresponde a los organismos incluidos en el documento municipal. Puede haber hospitales o entes con presupuesto separado. Los giros entre organismos ya incluidos no se cuentan dos veces.,,https://azuldigital.gob.ar/wp-content/uploads/2026/04/Adm.-Central-Situacion-Economica-Financiera-al-31-03-26.pdf
