Código;Municipio;Estado;Cierre incorporado;Cierre comparable;Revisión;Enlace recibido;Cuenta incorporada;PDF distintos recuperados;Observación
06007;Adolfo Alsina;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;https://gobabierto.ar/adolfoalsina/transparenciafiscal/;28;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06014;Adolfo Gonzales Chaves;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://gonzaleschaves.gob.ar/gobierno-abierto/;https://gonzaleschaves.gob.ar/transparencia-2026/;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06021;Alberti;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://alberti.gov.ar/hestia_layouts/2024;https://alberti.gov.ar/transparencia;7;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06028;Almirante Brown;Cuenta no verificada;;;2026-09-07;https://www.almirantebrown.gov.ar/estado-contable-2023;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06077;Arrecifes;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://arrecifes.gob.ar/informacion-publica/situacion-economico-financiera/;https://arrecifes.gob.ar/2026-2/rendicion-de-cuentas/;18;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06035;Avellaneda;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.mda.gob.ar/gobierno/secretaria-de-hacienda-y-administracion/;https://www.mda.gob.ar/gobierno/secretaria-de-hacienda-y-administracion/situacion-economica-financiera/;1;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06042;Ayacucho;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.ayacucho.gob.ar/?q=rendicion-cuentas-0;https://www.ayacucho.gob.ar/?q=transparencia-fiscal-municipal;22;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06049;Azul;Cuenta de otro período;2026-03-31;;2026-09-07;http://azuldigital.gob.ar/transparencia/;https://azuldigital.gob.ar/wp-content/uploads/2026/04/Adm.-Central-Situacion-Economica-Financiera-al-31-03-26.pdf;45;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06056;Bahía Blanca;Cuenta no verificada;;;2026-09-07;https://gobiernoabierto.bahia.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06063;Balcarce;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://balcarce.gob.ar/transparencia-fiscal/;https://drive.google.com/drive/folders/1YhirIMzWs3Y-2CNbfSvdH9niQ1sp5QPX?usp=drive_link;52;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06070;Baradero;Cuenta de otro período;2026-03-31;;2026-09-07;https://baradero.gob.ar/situacion-economica-financiera/;https://baradero.gob.ar/download/situacion-economico-financiera-al-31-03-2026/;11;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06084;Benito Juárez;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://benitojuarez.gov.ar/transparencia/;https://drive.google.com/drive/folders/1FU2u0UbC2JoVe6gQFGzdq7iHR1bf2KC_?usp=sharing;13;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06091;Berazategui;Cuenta no verificada;;;2026-09-07;https://berazategui.gob.ar/responsabilidad-fiscal/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06098;Berisso;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://berisso.gob.ar/gobierno-abierto.php;https://berisso.gob.ar/pagina/transparencia-fiscal;20;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06105;Bolívar;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.bolivar.gob.ar/hacienda/transparencia-fiscal/;https://www.bolivar.gob.ar/transparencia-fiscal/;25;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06112;Bragado;Cuenta comparable a junio de 2026;2026-08-31;2026-06-30;2026-09-07;https://portalbragado.com.ar/;https://portalbragado.com.ar/informacion_fiscal_presupuestaria/regimen_provincial_fiscal_municipal/regimen_provincial_fiscal_municipal.html;11;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
