periodo,stock_bruto,stock_situacion_normal,stock_moneda_local,stock_ajustable_cer,stock_moneda_extranjera,pagos_totales,capital_moneda_local,intereses_moneda_local,capital_moneda_extranjera,intereses_moneda_extranjera,stock_inicio,financiamiento_y_emisiones,transacciones_netas,ajustes_valuacion,ajustes_elegible,variacion_stock,stock_cierre,capital_pagado,intereses_pagados,ajustes_avales,consolidacion_deudas,valuacion_tipo_cambio,valuacion_cer,capitalizacion_intereses,otros_ajustes
2019-01,335661.3,332746.6,80270.8,21908,252475.8,7749.8,3126.1,479.4,2275.2,1869.1,332191.8,5848.8,448.1,3025.3,4.3,3469.6,335661.4,5401.3,2348.5,-9.7,1.6,1422.1,1051,552.2,0
2019-02,334477,331571.2,77088,22424,254483.2,9350.6,5974.7,12.2,3059.8,303.9,335661.4,11556.4,1023.4,-2187,-8.7,-1184.5,334476.9,9034.5,316.1,-15.3,3.1,-2918.5,-589.8,1322.8,-1.5
2019-03,324898.3,322317.3,71273,23433.3,251044.3,10472.5,4796.9,898.1,4207.3,570.2,334476.9,7135.2,-2632.3,-6604.2,-324.1,-9578.9,324898,9004.2,1468.3,-19.6,1.3,-5394.7,-1731.9,566.5,-44.1
2019-04,334322.9,331741.1,73061.9,24252.4,258679.2,12399.6,4876.6,726.5,5190.2,1606.3,324898,19196.6,9188.2,247.1,0.9,9424.8,334322.8,10066.8,2332.8,-12.6,1.2,-755.9,622,359.8,21.2
2019-05,329930.6,327350.4,72730.4,24444.5,254620,13012.8,4357.6,536.9,6526.8,1591.5,334322.8,7778.5,-4132.0,-248.3,-1.3,-4391.8,329931,10884.4,2128.4,-12.6,2.4,-1127.4,504.8,374.3,0
2019-06,337267.1,334706.1,78268.2,27204.2,256437.9,8971.2,4720,959.8,2495,796.4,329931,8519.2,1481.2,5889.5,-20.1,7336.1,337267.1,7215,1756.2,-17.5,3,3250.4,2265.1,374,0
2019-07,341957.5,339420.3,77435.8,28331.3,261984.5,9102.1,3927.8,466.8,3026.7,1680.8,337267.1,13510.4,6571.7,-1895.8,-23.3,4690.0,341957.1,6954.5,2147.6,32.8,4.6,-2225.8,-106.2,432,4.2
2019-08,310102.3,307589.2,58924.5,21528.6,248664.7,6297.1,704.2,153.3,4101.6,1338,341957.1,1868.3,-13342.8,-18494.1,-23.5,-31855.4,310101.7,4805.8,1491.3,-7.4,12.4,-12454.6,-6473.3,433.8,0
2019-09,311251.2,308742.7,61291,22608.8,247451.7,3554.6,1101.4,815.3,1253.5,384.4,310101.7,1358.0,-1035.6,2202.5,-4,1149.4,311251.1,2354.9,1199.7,-17.8,4.3,561.2,1179.8,461.5,0
2019-10,312471.0,309941.6,61450.3,22863.4,248491.3,3863.3,1108.2,576.1,1302.3,876.7,311251.1,3628,-654,2254,20.3,1220.3,312471.4,2410.5,1452.8,-403,3,-349,266,326,2011
2019-11,313299.1,310778.5,63408,23790.5,247370.5,6094.7,3531.5,430.9,1207.9,924.4,312471.4,4915,172,659,-9,827,313298.4,4739.4,1355.3,1,4,-559,929,289,0
2019-12,323064.6,320525.4,71580.7,24451.2,248944.7,6441.6,3208,1099,841.2,1293.4,313298.4,12084,7910,1833,18,9766,323064.4,4049.2,2392.4,3,2,679,858,296,0
2020-01,324440.6,321908.6,72307.6,24106.5,249601,3206.7,1132.2,501.6,273.5,1299.4,323064.4,3923.2,1109.3,269.5,-6.6,1376.2,324440.6,1405.7,1801.0,-0.1,4.1,-726.7,756.2,255.2,-15.2
2020-02,324369.9,321843.5,71966.4,24043.5,249877.1,2488.7,1588.9,240.3,215.4,444.1,324440.6,3701.6,1419.4,-1478.7,-5.4,-70.7,324369.9,1804.3,684.4,-6.2,0.2,-1631.7,-50.1,202.5,0.6
2020-03,323381.2,320855.3,70777.2,30109.5,250078.1,5556.6,4247.3,425.6,539.5,344.2,324369.9,13145.3,774.1,-1753.9,-0.5,-988.7,323381.2,4786.8,769.8,-10.8,2.4,-1674.5,-416.5,337.6,-0.5
2020-04,323254.8,320737.5,70308.6,29588.3,250428.9,3653.4,2818.5,541.7,218.9,74.3,323381.2,9824.5,1605.2,-1721.8,-8.3,-126.4,323254.8,3037.4,616.0,-3.2,1.7,-1525.5,-303.9,43.4,64.2
2020-05,324808.3,322280.1,72981.4,32190.4,249298.7,2691.8,1732.8,430,145.7,383.3,323254.8,6565.3,1932.2,-386.2,10.5,1553.5,324808.3,1878.5,813.3,-3.3,0.3,-559.1,-38.6,210.8,0.7
2020-06,324552.4,322014.6,71801.9,32613.5,250212.7,4933.2,4091.1,560.3,185.9,95.9,324808.3,5189.6,833.4,-1092.2,9.2,-255.9,324552.4,4277.0,656.2,-8,1.7,-683.9,-426.2,18,-0.1
2020-07,328087.9,325507.8,76865.6,36710,248642.2,3500.7,2983.8,153.1,280.8,83,324552.4,9929.1,2509.2,984.6,40.8,3535.5,328087.9,3264.6,236.1,-0.1,1,1208.2,-271.9,17.9,30.4
2020-08,329479.5,326886.7,77780.6,38013.9,249106.1,3290,2483.4,299.2,163,344.4,328087.9,4773.2,2077.4,-690.8,12.3,1391.6,329479.5,2646.4,643.6,-8.2,0.9,-508.1,-196.4,13.7,0
2020-09,332247.5,329672.4,79096.6,39360.7,250575.8,3541.5,2868.7,339.3,229.6,103.9,329479.5,115799.4,4350.9,-1555.1,-17.1,2768.0,332247.5,3098.3,443.2,-13.4,2.7,-1541.6,-164.7,151.2,0
2020-10,333194.7,330633.3,79982.5,39917.2,250650.8,4494.7,3910.7,374,168.6,41.4,332247.5,6801.3,1839.7,-923.2,-13.5,947.2,333194.7,4079.3,415.4,-6.1,50.3,-928.1,-12,13.2,3.7
2020-11,333253.8,330670.1,78595.1,40634.7,252075.0,6631.8,5615.4,473.8,173.4,369.2,333194.7,7406,862.4,-640.2,21.5,59.1,333253.8,5788.8,843.0,-185.4,0.8,-429.3,-211.4,0,0.5
2020-12,335582.2,332975,78978.7,42121.9,253996.3,4620.7,4347.2,39,171.8,62.7,333253.8,10560,2942.8,-711.9,22.7,2328.4,335582.2,4519.0,101.7,7,67.8,-747.7,19.7,5.8,10.3
2021-01,334929.2,332328.9,78677.8,43033.7,253651.1,3115.0,2326.8,376.4,353.2,58.6,335582.2,10923.4,639.2,-1282.9,-6.6,-653.0,334929.2,2680.0,435.0,-3.7,1,-1237.1,-56.2,0,10.4
2021-02,334883.8,332288.7,78833.1,43055,253455.6,3963.4,3356.9,116.7,148.5,341.3,334929.2,4186.1,615.8,-653.6,-5.1,-45.4,334883.8,3505.4,458.0,-5.1,2.6,-1024.8,371,0,0.2
2021-03,335556.1,332989.6,80563.5,44702.6,252426.1,4557.7,3898,299.2,264.7,95.8,334883.8,8173.9,1605.4,-904.8,-27.6,672.3,335556.1,4162.7,395.0,-3.7,3,-1720.9,687.7,128.2,0.2
2021-04,338332.1,335741.9,82786.8,46362,252955.1,3296.7,2682.3,386.3,198.5,29.6,335556.1,7652.7,1615.5,1136.5,22.8,2776.0,338332.1,2880.8,415.9,-3.7,4.9,227.6,1082.8,0,-173.9
2021-05,341091.8,338483.2,85169.7,47626.9,253313.5,4217.3,3092.4,582.4,183.1,359.4,338332.1,4515.1,1237.3,1506.7,17.8,2759.7,341091.8,3275.5,941.8,-3.7,1.6,-1.4,1507.9,0,0.2
2021-06,343523.9,340944.2,88430.6,51605.7,252513.6,5727.8,5089.7,420.5,157.8,59.8,341091.8,9605.1,2394.5,78.3,-27.9,2432.1,343523.9,5247.5,480.3,-14.6,1.8,-1182.8,1260.9,0,0.2
2021-07,345140.3,342559.6,90412.6,52746.9,252147,5291.6,4309.5,261.5,525.3,195.3,343523.9,7763.8,673.1,952.1,0.9,1616.4,345140.3,4834.8,456.8,-12.8,3.1,-239.9,1175.2,0,16.8
2021-08,345870.4,343294.0,91436.4,53288.3,251857.6,4795.6,4020.5,198.4,188.5,388.2,345140.3,4550.1,306.1,474.9,-4.1,730.1,345870.4,4209.0,586.6,-49.3,2.5,-555.5,1030.3,0,0.1
2021-09,342620.1,340061.3,88755.4,55529,251305.9,10923.2,8392.1,286.5,2148.1,96.5,345870.4,9003.5,-3371.6,135.8,-17,-3250.3,342620.1,10540.2,383.0,-3.7,6.2,-901.6,916.4,121.1,-0.1
2021-10,349229.1,346671.6,94741.2,57945.8,251930.4,4889.9,4227.4,459.9,168.4,34.2,342620.1,11325.3,5233.9,1379.7,-1.3,6609,349229.1,4395.8,494.1,-3.7,0.4,-134.4,1156.5,0,357.6
2021-11,354422.3,351881.2,99005.7,61148.6,252875.5,3512.7,2366.2,514.5,186.1,445.9,349229.1,7955.7,4871.0,355.4,-15.8,5193.2,354422.3,2552.3,960.4,-21,3.6,-966.2,1321.8,0,-0.2
2021-12,363232.6,360688.7,107807.8,62203.2,252880.9,2371.9,318.2,2.2,1996,55.5,354422.3,11674.2,8672.5,-0.5,2.7,8810.3,363232.6,2314.2,57.7,125.7,9.9,-744,743.3,0,0.2
2022-01,365747.6,363214.2,111859.1,65485.7,251355.1,7743.2,5573.5,374.7,1046.1,748.9,363232.6,9789.5,3093.4,-565.7,-10.2,2515.0,365747.6,6619.6,1123.6,-5,2.5,-1188.6,612.4,0,10.5
2022-02,366626.3,364093.2,112885.6,66915.2,251207.6,1346.8,479.5,135.4,334.2,397.7,365747.6,3970.9,859.6,28.1,-0.2,878.7,366626.3,813.7,533.1,-8.8,0,-833.6,861.8,0,-0.1
2022-03,376300.4,373780.7,116185,71157.1,257595.7,13905.4,10608.1,188.1,3021.9,87.3,366626.3,28240.4,10681.5,-986.3,-12.9,9674.1,376300.4,13630.0,275.4,-12.9,4.7,-1822.1,835.8,0,0
2022-04,374198.9,371722.3,116084.3,73231.3,255638.0,8295,7132.4,269.7,851.2,41.7,376300.4,14480.0,-94.2,-1962.3,-41.7,-2101.5,374198.9,7983.6,311.4,-9.2,5.9,-3081.6,1187.2,0,-67.9
2022-05,374577.8,372084.2,116207.8,75954.3,255876.4,11237.8,10071.1,567.1,175.3,424.3,374198.9,10460.6,-65.7,433.5,16.4,378.9,374577.8,10246.4,991.4,-7.1,1.8,-1167.4,1600.8,0,0.1
2022-06,378505.6,376032.5,119537.6,77142.5,256494.9,4944,1777.8,260.4,2848.1,57.7,374577.8,15244.9,5534.1,-1555.9,-19.8,3927.8,378505.6,4625.9,318.1,-30.6,0,-2466.8,910.5,0,0.4
2022-07,380772.7,378320.2,124040.4,78327.8,254279.8,5786.4,2725.8,116.8,2217,726.8,378505.6,10553.2,3995.3,-1697.0,-19.8,2267.1,380772.7,4942.8,843.6,-11.4,0,-2188.6,361.9,0,129.7
2022-08,381121,378682.4,124952.6,69089.1,253729.8,2692.1,1803.2,177.8,208.2,502.9,380772.7,18636.2,2842.0,-2468.3,-13.5,348.3,381121,2011.4,680.7,-11.9,0,-2905.9,437.4,0,0.2
2022-09,382281.2,379863.8,126884.9,71464.2,252978.9,5327.3,2117.8,239.9,2843.2,126.4,381121,9932.4,3744.5,-2416.9,-20.4,1160.2,382281.2,4961.0,366.3,-147,0,-3001.1,584.2,0,0
2022-10,386272.4,383850.1,127409.8,72644.4,256440.3,6438.1,3487.5,152.4,2717.8,80.4,382281.2,10702.4,4207.1,-231.3,4.6,3991.2,386272.4,6205.3,232.8,10.8,0,-2073.4,135.9,0,1706.2
2022-11,386659.5,384193.5,126167.8,68274.9,258025.7,4435.9,2719.6,897.4,176.7,642.2,386272.4,10207.9,1456.1,-1084.3,42.3,387.1,386659.5,2896.3,1539.6,-27,0,-791.2,-293.4,0,0.3
2022-12,396555.2,394064.2,131112.6,67933.5,262951.6,10160.1,6925.9,123.4,2988.3,122.5,386659.5,22721.4,11310.7,-1415.2,24.1,9895.7,396555.2,9914.2,245.9,-23.9,0,-1270.7,-144,0,-0.5
2023-01,395856.3,393353.1,132546,55872.9,260807.1,7310,2460.7,326.5,3398.6,1124.2,396555.2,30139.4,1263.4,-1966.7,11.8,-698.9,395856.3,5859.3,1450.7,-7.4,0,-1711.1,-265.8,0,10.2
2023-02,394199.2,391720.4,131788,56099.4,259932.4,4533.8,3230.7,196.6,343.4,763.1,395856.3,4978.8,1514.1,-3134.2,-23.6,-1657.1,394199.2,3574.1,959.7,-17.8,4.4,-2998.1,-135.9,0,-0.2
2023-03,398245.7,395744.7,131929.5,67329.8,263815.2,8789.7,5182.3,209.1,3137,261.3,394199.2,35829.2,4621.9,-585.3,21.5,4046.5,398245.7,8319.3,470.4,-14,2.4,-982,396.7,0,0
2023-04,396272.2,393756.6,132399.3,68848.8,261357.3,9177.9,6004.2,119.9,2908.2,145.6,398245.7,8272.4,-869.7,-1117.8,14,-1973.5,396272.2,8912.4,265.5,-8.3,8.3,-1466.6,345.4,0,3.4
2023-05,398833.2,396344.3,135817.3,73048.7,260527,5945.1,4156.8,685.5,179.8,923,396272.2,9203.5,4700.7,-2118.6,-25.8,2561.0,398833.2,4336.6,1608.5,-0.8,5.5,-2569.8,448.7,2.4,0.1
2023-06,403835.8,401329.5,142628.7,76367.5,258700.8,10821.1,7463.3,383.8,2822.4,151.6,398833.2,46152.7,5923.3,-963.2,16.8,5002.6,403835.8,10285.7,535.4,21.7,4,-1466.7,501.9,0,1.6
2023-07,406133.9,403621.4,143955.4,77272.8,259666.0,9596.7,5263.7,75.6,3094.6,1162.8,403835.8,12026.4,3646.7,-1502.7,6,2298.1,406133.9,8358.3,1238.4,145.6,2.5,-1343.8,-182.8,0,23.9
2023-08,395758.3,393268.7,127418.2,67333.7,265850.5,6620.2,3716.5,215.9,1820.3,867.5,406133.9,18265.8,8328.8,-18674.7,-22.1,-10375.6,395758.3,5536.8,1083.4,-11.7,4.1,-5363.7,-13316.1,5.1,0
2023-09,406948.1,404476.6,137198.4,74337.4,267278.2,3539.8,2798.1,180.4,258.5,302.8,395758.3,8612.5,5629.6,5587.5,-17.5,11189.8,406948.1,3056.6,483.2,-14.1,4.3,-677.1,6264.6,0,0
2023-10,418019.1,415540.1,149955.8,86136.7,265584.3,4258.1,3214.9,419.3,404.9,219,406948.1,8333.8,2897.0,8171.1,7.3,11071.0,418019.1,3619.8,638.3,-4.4,0,-193.1,9761.8,0,-1397.6
2023-11,425555.9,423046.4,158819.7,92930.8,264226.7,8304.1,3947,571,2776.9,1009.2,418019.1,7443,904.3,6605.4,29.4,7536.8,425555.9,6723.9,1580.2,-5.8,3.5,475.1,6121.7,8.2,0.4
2023-12,370673.4,368225.0,103744,46142.8,264481.0,6093.9,4660.9,194.6,1059.8,178.6,425555.9,12435.2,4545.8,-59365.8,-60.4,-54882.5,370673.4,5720.7,373.2,-13.4,11.3,-12058.9,-47307.3,0,0.4
2024-01,381272.8,378837.8,110846,56076.6,267991.8,8662.9,4533.2,143.9,2290.2,1695.6,370673.4,18157.6,3422.4,7194.2,-13.0,10599.4,381272.8,6823.4,1839.5,-4.2,0,-797.1,7991,0,0.3
2024-02,386539.8,384099,124863.8,74662.3,259235.2,13105.5,10865.5,242.8,1111.2,886,381272.8,11649.6,-6872.3,12139.6,5.6,5267,386539.8,11976.7,1128.8,-6,0.1,-238.5,12371,6.9,0.2
2024-03,403052.4,400605.5,141879.1,116461.8,258726.4,1966.9,1015,104,452.1,395.8,386539.8,52011.7,1247.3,15262.3,5.8,16512.6,403052.4,1467.1,499.8,-3.1,0.3,-259.3,15521.3,0,0.3
2024-04,414035.6,411603.4,155142.5,129110.1,256460.9,6336,3963.3,111.5,2065.5,195.7,403052.4,6472.5,415.9,10589.6,-14.3,10983.2,414035.6,6028.8,307.2,-10.8,2.8,-530.4,11097.8,36,-13.8
2024-05,435697.7,433246.5,178573.7,137068.8,254672.8,7291.8,5707.9,349.4,222.6,1011.9,414035.6,18495.4,11820.9,9830.2,18.3,21662.1,435697.7,5930.5,1361.3,-7.5,0.2,-253.6,9882.6,201,0.2
2024-06,442514.9,440072.4,185027.2,143479.8,255045.2,7052.7,6636.9,61.5,144.3,210,435697.7,7987.2,854.0,5973.8,-8.4,6817.2,442514.9,6781.2,271.5,-2.4,0.2,-832,6055.3,750.8,-0.3
2024-07,452070.5,449617.8,195696.5,122978,253921.3,15295.8,11307.7,228.7,2145.3,1614.1,442514.9,43205.0,6000.6,3563.1,9.8,9555.6,452070.5,13453.0,1842.8,-18,0.1,-846.3,2557.1,1848.8,3.5
2024-08,458408.7,455936.1,200688.2,125430.5,255247.9,6704.1,5469.3,192.6,154.5,887.7,452070.5,15549.2,2071.9,4249,19.3,6338.2,458408.7,5623.8,1080.3,-2.4,0.4,-638.3,2570,2317,0.3
