finalidad_id,funcion_id,credito_comprometido_2026,credito_devengado_2026,credito_pagado_2026,credito_comprometido_real_agosto2026_2026,credito_devengado_real_agosto2026_2026,credito_pagado_real_agosto2026_2026,credito_comprometido_2025,credito_devengado_2025,credito_pagado_2025,credito_comprometido_real_agosto2026_2025,credito_devengado_real_agosto2026_2025,credito_pagado_real_agosto2026_2025,finalidad_desc_2025,funcion_desc_2025,finalidad_desc_2026,funcion_desc_2026,credito_comprometido_variacion_nominal_pct,credito_comprometido_variacion_real_pct,credito_devengado_variacion_nominal_pct,credito_devengado_variacion_real_pct,credito_pagado_variacion_nominal_pct,credito_pagado_variacion_real_pct,periodo_comparacion
1,1,372156.32353663,355703.17684443,350423.56560422,400121.07532658,381661.67835499,373998.06627721,286342.39828174,276457.40474078,267497.86895785,409624.77192585,394357.83383495,380361.91834504,ADMINISTRACION GUBERNAMENTAL,Legislativa,ADMINISTRACION GUBERNAMENTAL,Legislativa,29.96899019,-2.32009811,28.66473126,-3.21945056,31.00050739,-1.67310442,Enero–agosto de cada año
1,2,2626048.58124608,2442468.33669263,2256891.72492183,2844349.08737518,2615612.89314219,2395878.20321796,1883740.22221691,1757244.47036395,1599261.41676647,2711821.99140298,2507189.91894866,2262827.57442595,ADMINISTRACION GUBERNAMENTAL,Judicial,ADMINISTRACION GUBERNAMENTAL,Judicial,39.40608956,4.8870131,38.99422521,4.3244819,41.12087625,5.87983947,Enero–agosto de cada año
1,3,214703.37035659,197425.14435629,189362.15157829,233690.21897837,211712.48652642,202268.88505307,207540.84175566,189591.13957693,179247.75891901,299495.85085037,271545.94982528,255938.72503202,ADMINISTRACION GUBERNAMENTAL,Dirección Superior Ejecutiva,ADMINISTRACION GUBERNAMENTAL,Dirección Superior Ejecutiva,3.45114173,-21.97213473,4.13205216,-22.03437884,5.64268849,-20.96980048,Enero–agosto de cada año
1,4,625539.83305491,524039.47782282,509032.98053023,690611.89638278,565116.25245925,544629.67846348,441689.61673143,379296.97585452,372985.07349397,636823.49570819,545841.50396581,531513.82952611,ADMINISTRACION GUBERNAMENTAL,Relaciones Exteriores,ADMINISTRACION GUBERNAMENTAL,Relaciones Exteriores,41.62430117,8.44635932,38.16073188,3.53119877,36.47542937,2.4676402,Enero–agosto de cada año
1,5,555047.63121477,523318.00721754,501736.27317434,607321.20669478,569183.28872392,544162.19224946,1426458.09386443,1386535.17557945,1348472.36967517,2036234.8722388,1974772.67482909,1919707.93677617,ADMINISTRACION GUBERNAMENTAL,Relaciones Interiores,ADMINISTRACION GUBERNAMENTAL,Relaciones Interiores,-61.08910359,-70.17430479,-62.25714166,-71.17727544,-62.79224666,-71.65390725,Enero–agosto de cada año
1,6,79761.16791756,61413.97797717,57284.9914344,86312.08832029,65583.92890101,60827.72376062,52833.15210989,47623.6011563,45394.92063013,76222.82246044,67979.36372161,64636.11422715,ADMINISTRACION GUBERNAMENTAL,Administración Fiscal,ADMINISTRACION GUBERNAMENTAL,Administración Fiscal,50.96802809,13.23654194,28.95702233,-3.52376764,26.1925137,-5.89204737,Enero–agosto de cada año
1,7,83698.52531999,82057.96152979,71743.73801466,89815.22696198,87957.19450992,75963.59237278,62501.66913966,61872.9681403,54937.11235792,89475.5363259,88508.94027342,77689.82870405,ADMINISTRACION GUBERNAMENTAL,Control de la Gestión Pública,ADMINISTRACION GUBERNAMENTAL,Control de la Gestión Pública,33.91406417,0.37964638,32.62328283,-0.62337857,30.59248099,-2.22195924,Enero–agosto de cada año
1,8,38549.7454914,29437.54134323,28746.82794823,42783.36869239,31537.87917474,30640.71156979,31730.40764985,24799.48930383,24310.47929727,47041.31939955,35363.41715285,34415.88526111,ADMINISTRACION GUBERNAMENTAL,Información y Estadística Básicas,ADMINISTRACION GUBERNAMENTAL,Información y Estadística Básicas,21.49149143,-9.05151208,18.70220787,-10.8177837,18.24870911,-10.96927672,Enero–agosto de cada año
2,1,2079780.01953091,1756836.54830514,1669159.90574242,2288648.94356733,1880421.29856161,1777404.10840836,1577186.01191523,1336436.24155398,1275664.80507607,2262283.5085854,1907379.8339798,1812987.89612367,SERVICIOS DE DEFENSA Y SEGURIDAD,Defensa,SERVICIOS DE DEFENSA Y SEGURIDAD,Defensa,31.86650172,1.16543461,31.45681729,-1.41338054,30.8462771,-1.96271513,Enero–agosto de cada año
2,2,2670060.46995113,2258593.92623702,2157691.97442847,2953055.17371326,2422223.81682891,2304535.74474142,1947563.16912562,1789002.70353165,1708997.62456483,2852335.19436531,2552212.74433486,2428560.69067422,SERVICIOS DE DEFENSA Y SEGURIDAD,Seguridad Interior,SERVICIOS DE DEFENSA Y SEGURIDAD,Seguridad Interior,37.09750278,3.53114106,26.24877099,-5.09318542,26.25482584,-5.10693212,Enero–agosto de cada año
2,3,513756.15464692,427721.01699011,397971.5595767,567979.61890852,458281.68312009,423980.70473185,339385.32851356,332497.19288662,315806.17310558,498428.42576485,474033.55253606,448191.54609054,SERVICIOS DE DEFENSA Y SEGURIDAD,Sistema Penal,SERVICIOS DE DEFENSA Y SEGURIDAD,Sistema Penal,51.37842195,13.95409843,28.63898587,-3.32294398,26.0176632,-5.40189604,Enero–agosto de cada año
2,4,248334.36865202,213570.79501151,204698.72408427,269463.75137877,228915.62002183,218999.60306343,188269.11463551,168142.20126976,164257.52666903,272534.53042642,239432.44076526,233403.56626177,SERVICIOS DE DEFENSA Y SEGURIDAD,Inteligencia,SERVICIOS DE DEFENSA Y SEGURIDAD,Inteligencia,31.90393397,-1.12674862,27.01796063,-4.39239591,24.62060536,-6.17126954,Enero–agosto de cada año
3,1,5286107.57602969,5115795.22874647,4909218.13325615,5652837.77822783,5449871.8941937,5214461.4418269,4485332.516099,4294511.55527345,4149245.58970172,6431661.61074297,6134640.3631898,5909391.83955605,SERVICIOS SOCIALES,Salud,SERVICIOS SOCIALES,Salud,17.85319276,-12.10921655,19.12402989,-11.16232458,18.31592098,-11.75976169,Enero–agosto de cada año
3,2,2200930.35756139,2174590.65385812,1899133.73424498,2359015.69706887,2326779.84890992,2025346.98290206,1968286.7547598,1917272.79734026,1717798.85736447,2824102.24066778,2745748.38619997,2464299.89165773,SERVICIOS SOCIALES,Promoción y Asistencia Social,SERVICIOS SOCIALES,Promoción y Asistencia Social,11.81959906,-16.46847401,13.42103517,-15.25881029,10.55623457,-17.81247933,Enero–agosto de cada año
3,3,58781491.02907389,58765389.51838515,58201793.79605385,63072679.60047292,63054427.79781653,62406548.64819286,44561896.01330912,44549800.44573392,44195045.08467555,63652555.85307305,63634471.12025338,63093944.49253267,SERVICIOS SOCIALES,Seguridad Social,SERVICIOS SOCIALES,Seguridad Social,31.90976212,-0.91100231,31.90943378,-0.91152376,31.69302958,-1.0894799,Enero–agosto de cada año
3,4,4655350.1112373,4566708.63950622,4462574.74143019,5029547.72434702,4919065.79893932,4735358.03711817,4214592.88144511,4124081.89223671,3700838.57371552,6026116.36349542,5878176.13181205,5259866.35464334,SERVICIOS SOCIALES,Educación y Cultura,SERVICIOS SOCIALES,Educación y Cultura,10.45788389,-16.53749412,10.73273419,-16.31646129,20.58279907,-9.97189438,Enero–agosto de cada año
3,5,1227870.27560599,1153671.78948852,1029215.77705027,1322839.99579341,1235047.63529911,1086930.62107314,917542.30515883,858807.23808622,767614.88664726,1317319.93450876,1226881.73238943,1089442.53086095,SERVICIOS SOCIALES,"Ciencia, Tecnología e Innovación",SERVICIOS SOCIALES,"Ciencia, Tecnología e Innovación",33.82165255,0.41903725,34.33419495,0.66558191,34.0797052,-0.23056836,Enero–agosto de cada año
3,6,584230.43133426,572651.48600767,571259.69492338,645868.34221026,627804.07634159,619385.27067148,754139.78507505,728305.3034682,650117.7758679,1085719.7237025,1044390.2963695,935448.83436826,SERVICIOS SOCIALES,Trabajo,SERVICIOS SOCIALES,Trabajo,-22.53022014,-40.51242433,-21.37205602,-39.88798263,-12.12981461,-33.78737052,Enero–agosto de cada año
3,7,18320.38712512,17483.05314215,17124.33594207,19100.42736411,18126.63456433,17720.19798539,14246.98823482,14009.89490378,13746.92896512,20492.19693058,20150.55042075,19692.35285064,SERVICIOS SOCIALES,Vivienda y Urbanismo,SERVICIOS SOCIALES,Vivienda y Urbanismo,28.5912982,-6.79170501,24.79075155,-10.04397306,24.56844715,-10.01482596,Enero–agosto de cada año
3,8,128901.76383084,128510.38903057,121116.42332852,135912.75752009,135132.42303289,126626.30070011,74839.80071535,58157.28834468,48146.13096715,107323.08979082,81240.58339045,67552.04299276,SERVICIOS SOCIALES,Agua Potable y Alcantarillado,SERVICIOS SOCIALES,Agua Potable y Alcantarillado,72.23691485,26.63887872,120.97039372,66.33610616,151.56003379,87.44999424,Enero–agosto de cada año
4,1,4932489.8336921,4911773.88222935,4880264.06109501,5287647.3514527,5231526.23057726,5184494.01735339,4048865.21364466,3001357.88841404,2956218.03753182,5945435.38178377,4187336.86258739,4122323.58728373,SERVICIOS ECONOMICOS,"Energía, Combustibles y Minería",SERVICIOS ECONOMICOS,"Energía, Combustibles y Minería",21.82400681,-11.06374871,63.65172248,24.936837,65.08471294,25.76630407,Enero–agosto de cada año
