finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,devengado_menos_pagado,corte
1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,586592.789555,605741.960834,379294.85306061,368652.34649136,364740.04803411,3912.29845725,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,3531275.313519,4275081.715041,2678506.85349148,2485711.9234752,2389946.27053124,95765.65294396,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,382557.988813,364719.390411,217630.5253498,201414.96979628,198303.98738713,3110.98240915,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,971435.051716,1037370.394833,813310.19053523,705177.2674787,674204.12199276,30973.14548594,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,3070026.705175,1606307.104979,591142.98236095,559606.69267673,550248.29992833,9358.3927484,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,139756.152218,141469.724134,80556.36787247,63104.04502971,62361.85901144,742.18601827,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,128653.88146,145817.526673,83776.30283203,83046.72194275,82665.31332137,381.40862138,2026-09-15
1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,48773.670387,48615.408269,38934.42674229,30871.03258114,30182.34545279,688.68712835,2026-09-15
2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,2770262.028287,2644823.950589,2151577.19858077,1821095.37440528,1781457.53631936,39637.83808592,2026-09-15
2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,3386272.488386,3468237.499462,2645284.47393069,2291359.45400566,2270783.93676805,20575.51723761,2026-09-15
2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,665758.288789,630948.503526,517857.97040215,433161.44420933,431783.63620879,1377.80800054,2026-09-15
2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,288930.537429,372552.250782,264434.10880291,229584.94623688,207100.58251494,22484.36372194,2026-09-15
3,SERVICIOS SOCIALES,1,Salud,8822143.593614,9402274.214267,5767449.85097065,5599732.13094334,5175079.98523157,424652.14571177,2026-09-15
3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,3621219.301211,3662269.384672,2221046.75561946,2195073.67053947,2187689.26276145,7384.40777802,2026-09-15
3,SERVICIOS SOCIALES,3,Seguridad Social,83443724.704343,85112047.648047,60652459.54599589,60438591.89017771,59124470.16791537,1314121.72226235,2026-09-15
3,SERVICIOS SOCIALES,4,Educación y Cultura,7742688.998707,9027801.297468,5198112.62632744,5114025.57643437,5041656.74935856,72368.82707581,2026-09-15
3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",1575382.497992,1907121.95243,1242957.61723671,1176093.19001902,1137141.55655914,38951.63345988,2026-09-15
3,SERVICIOS SOCIALES,6,Trabajo,971511.0,1084338.45465,662526.40610584,650953.34300103,642562.53652668,8390.80647435,2026-09-15
3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,32712.914052,26541.933717,18330.05328556,17534.40997556,17533.27096836,1.1390072,2026-09-15
3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,312265.364856,241584.114935,131955.68455392,131423.7026374,121707.54419434,9716.15844306,2026-09-15
4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",6453084.990948,7356287.874075,5934273.7089182,5479069.0385781,5466600.15726583,12468.88131227,2026-09-15
4,SERVICIOS ECONOMICOS,2,Comunicaciones,172505.4,187491.249737,115850.00435077,105904.57579705,100110.95746008,5793.61833697,2026-09-15
4,SERVICIOS ECONOMICOS,3,Transporte,3851932.979025,3803508.787578,2287889.07033051,2217751.24407428,2073644.77132156,144106.47275272,2026-09-15
4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,213720.690252,201198.615982,128612.17774654,110968.28851606,97837.62687006,13130.661646,2026-09-15
4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",375461.174278,370378.976121,264159.24983031,211491.48879134,206960.39576868,4531.09302266,2026-09-15
4,SERVICIOS ECONOMICOS,6,Industria,161239.09212,180265.714419,112555.53998829,100586.511839,99380.54379512,1205.96804388,2026-09-15
4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios",83383.857301,93224.120669,48613.04654813,43205.36689793,43143.92607851,61.44081942,2026-09-15
4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,146174.822226,147101.822226,75289.52801696,64761.28701373,63839.54636895,921.74064478,2026-09-15
5,DEUDA PUBLICA,1,Servicio de la Deuda Pública (intereses y gastos),14119847.24989,14329847.24989,12435200.08152794,12435200.08152794,12376650.91358495,58549.16794299,2026-09-15
