jurisdiccion_id,jurisdiccion_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,devengado_menos_pagado,corte
1,Poder Legislativo Nacional,674012.927987,923397.744609,584635.04739451,571366.4149155,548588.31476502,22778.10015048,2026-09-15
5,Poder Judicial de la Nación,2135208.999995,2587730.121283,1786721.26205524,1639917.79200564,1545253.94220504,94663.8498006,2026-09-15
10,Ministerio Público,835392.299994,1065852.031772,680954.98597013,675583.74308971,674619.97935728,963.76373243,2026-09-15
20,Presidencia de la Nación,396555.069251,562589.773432,340026.5955365,323965.47311946,289589.46375863,34376.00936083,2026-09-15
25,Jefatura de Gabinete de Ministros,1263912.394278,1398980.750893,844012.05090255,779754.1507629,743382.26259417,36371.88816873,2026-09-15
30,Ministerio del Interior,835138.313591,648426.559602,378598.96939296,349845.42586021,343841.8287445,6003.59711571,2026-09-15
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",653503.0,719391.869097,548281.37079149,437759.15474118,406766.94438582,30992.21035536,2026-09-15
40,Ministerio de Justicia,218332.225118,331423.084865,201439.67546026,162704.87957732,162700.47995432,4.399623,2026-09-15
41,Ministerio de Seguridad Nacional,7575435.226921,7802024.39742,5968347.1726978,5472041.56521425,5426181.51536095,45860.0498533,2026-09-15
45,Ministerio de Defensa,5699658.52429,5884905.734582,4503663.59399607,4081649.7700943,4019064.21126653,62585.55882777,2026-09-15
50,Ministerio de Economía,8879050.071452,10040251.493488,7633618.06095894,6977823.93060265,6850587.89332967,127236.03727298,2026-09-15
80,Ministerio de Salud,7402959.021544,8604631.070675,5500304.31428843,5354315.39765797,5198102.52024242,156212.87741555,2026-09-15
88,Ministerio de Capital Humano,84953712.824923,89121333.029792,62847795.47311487,62597906.82294685,61007779.65901284,1590127.16393401,2026-09-15
89,Ministerio de Desregulación y Transformación del Estado,25135.0,24743.803637,15137.18182951,14492.00241806,14289.17323822,202.82917984,2026-09-15
90,Servicio de la Deuda Pública,14118044.18889,14328044.18889,12434123.75250375,12434123.75250375,12375574.58456076,58549.16794299,2026-09-15
91,Obligaciones a Cargo del Tesoro,12403243.438315,8431243.186379,3491927.69442149,3491901.7395826,3413465.07672335,78436.66285925,2026-09-15
