jurisdiccion_id,jurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,devengado_menos_pagado,corte
1,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,84515.138432,101748.103645,65062.18229952,64709.95617423,64698.75449824,11.20167599,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,184475.0,266568.014991,162485.63832,161264.50580791,159309.5365869,1954.96922101,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,22,Revision de Cuentas Nacionales,104.0,104.0,52.0,52.0,52.0,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,25,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,129.0,129.0,64.5,64.5,64.5,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,27,Monitoreo e Implementacion del Nuevo Codigo Procesal Penal de la Nacion,95.0,95.0,47.5,47.5,47.5,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,31,Control Parlamentario de Seguimiento de Tramite Legislativo,213.0,213.0,159.75,159.75,79.875,79.875,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,32,Control Parlamentario de los Fondos de la Seguridad Social,157.0,157.0,78.5,78.5,78.5,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,33,Promocion y Seguimiento de la Comunicacion Audiovisual,36.0,36.0,18.0,18.0,18.0,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,69.0,69.0,34.5,34.5,34.5,0.0,2026-09-15
1,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,35.0,35.0,26.25,26.25,26.25,0.0,2026-09-15
1,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,218102.608873,276126.994234,173433.79766183,171559.99600303,170233.27992148,1326.71608155,2026-09-15
1,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,23,Revision de Cuentas Nacionales,202.0,202.0,151.5,151.5,101.0,50.5,2026-09-15
1,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,40,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149)",38.0,38.0,28.5,28.5,19.0,9.5,2026-09-15
