ubicacion_geografica_id,ubicacion_geografica_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,devengado_menos_pagado,corte
2,Ciudad Autónoma de Buenos Aires,28260616.667939,27851399.246429,21211650.06195526,20084063.61933826,19592435.98748993,491627.63184833,2026-09-15
6,Provincia de Buenos Aires,34632377.167825,35507970.093768,25733559.98504152,25435572.02880347,24855351.90331479,580220.12548868,2026-09-15
10,Provincia de Catamarca,1143034.621388,1170659.250098,828752.94096616,826703.55657868,807429.69854073,19273.85803795,2026-09-15
14,Provincia de Córdoba,7138283.957828,7499675.437706,5264894.052879,5240591.8301703,5112418.8674044,128172.9627659,2026-09-15
18,Provincia de Corrientes,2213787.279744,2295516.353093,1627748.52837911,1617994.25136257,1569617.85551222,48376.39585035,2026-09-15
22,Provincia del Chaco,2198231.488169,2347681.889414,1603983.64857891,1584177.09876585,1526087.11167709,58089.98708876,2026-09-15
26,Provincia del Chubut,1686226.595297,1728456.515406,1222530.45775875,1196180.2226901,1159271.14719877,36909.07549133,2026-09-15
30,Provincia de Entre Ríos,2487357.055005,2617872.630679,1830755.72970993,1802239.13028064,1749005.59453719,53233.53574345,2026-09-15
34,Provincia de Formosa,1030002.657468,1071514.116061,737041.25192572,730550.62903915,694133.78315414,36416.84588501,2026-09-15
38,Provincia de Jujuy,1757776.322624,1847240.215173,1280802.57701171,1274181.26583701,1250970.70083903,23210.56499798,2026-09-15
42,Provincia de La Pampa,995982.432467,1003590.055629,765867.00036664,751916.36195444,736572.62213534,15343.7398191,2026-09-15
46,Provincia de La Rioja,901436.320967,927572.724923,642864.74543325,640779.16053681,622194.8389186,18584.32161821,2026-09-15
50,Provincia de Mendoza,4636208.187793,4849387.945419,3399655.62724472,3363520.60463697,3282609.32526785,80911.27936912,2026-09-15
54,Provincia de Misiones,2390853.770377,2544081.963482,1760056.37751725,1739694.16857923,1678209.12777689,61485.04080234,2026-09-15
58,Provincia del Neuquén,1547186.715039,1595653.146482,1105679.19500708,1076620.11854001,1044311.69526722,32308.42327279,2026-09-15
62,Provincia de Río Negro,2605392.434239,2743169.098401,1898137.77016561,1879244.1019005,1843032.61143471,36211.49046579,2026-09-15
66,Provincia de Salta,3112396.488674,3273016.272719,2275783.50451494,2260637.0199523,2194546.65745011,66090.36250219,2026-09-15
70,Provincia de San Juan,1970435.749802,2054422.255072,1391401.03936251,1384448.59840598,1356082.70045482,28365.89795116,2026-09-15
74,Provincia de San Luis,1191032.485532,1251243.632107,841427.92367083,838566.269896,811052.99883549,27513.27106051,2026-09-15
78,Provincia de Santa Cruz,1315257.655191,1164492.232411,673453.53451552,660748.91115666,640281.31003888,20467.60111778,2026-09-15
82,Provincia de Santa Fe,6393129.730235,6701831.368965,4592310.84814409,4574421.60735371,4449716.26306695,124705.34428676,2026-09-15
86,Provincia de Santiago del Estero,2174041.203282,2293276.521233,1617272.92195787,1590818.24335967,1538207.12064623,52611.12271344,2026-09-15
90,Provincia de Tucumán,3898140.795783,4065804.361437,2802091.41966958,2790455.73755206,2712641.88357858,77813.85397348,2026-09-15
94,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",471173.13518,501418.254525,327702.29244687,319566.55311088,309914.50794426,9652.04516662,2026-09-15
96,Interprovincial,4441950.803344,4181524.142571,574934.17075239,513774.75453357,506376.21084994,7398.54368363,2026-09-15
97,Nacional,16196069.084819,16780158.271912,9929656.18813844,9440654.53689792,9323673.99378511,116980.54311281,2026-09-15
98,Binacional,76303.392523,172901.050049,101729.87105898,101729.87105898,101321.82744594,408.04361304,2026-09-15
99,No Clasificado,11204609.328015,12433439.795252,11717843.53714186,11645301.76280063,11552319.50493431,92982.25786632,2026-09-15
