impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,31543.985566,27619.89122537,21004.18314511,2025,2025-01,True,7864.1257,49243.63422893,43117.69094933,32789.84229533
1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,370722.04908561,182009.27502242,50124.51395077,2025,2025-01,True,7864.1257,578737.93238892,284136.51619021,78249.88461684
1,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,18873.27543143,11460.7290095,8780.5287855,2025,2025-01,True,7864.1257,29463.26075704,17891.45972566,13707.37210569
1,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,67020.04367251,63352.23887265,16371.92770876,2025,2025-01,True,7864.1257,104625.66658582,98899.81949495,25558.38158199
1,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,118777.19731871,98562.00750309,90746.99530282,2025,2025-01,True,7864.1257,185424.28150883,153866.14466319,141666.0502433
1,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,9396.0944515,5403.67549238,4817.33001046,2025,2025-01,True,7864.1257,14668.33787956,8435.73234846,7520.38249887
1,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,7608.89472521,7107.24379988,1075.603337,2025,2025-01,True,7864.1257,11878.3223493,11095.19002679,1679.13522506
1,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,9034.97860397,1606.59202664,1410.34924116,2025,2025-01,True,7864.1257,14104.59628538,2508.06702753,2201.71043451
1,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,139217.27597629,133163.03878047,97991.76708626,2025,2025-01,True,7864.1257,217333.49459538,207882.16380579,152975.93659325
1,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,203060.22655291,174200.37630405,125982.55792542,2025,2025-01,True,7864.1257,316999.36908397,271945.96558862,196672.64267302
