periodo,indice,factor_a_agosto_2026
2016-12,100.0,122.76766
2017-01,101.5859,120.85108268
2017-02,103.6859,118.40342805
2017-03,106.1476,115.65749956
2017-04,108.9667,112.6653005
2017-05,110.5301,111.07169902
2017-06,111.8477,109.76324055
2017-07,113.7852,107.89422526
2017-08,115.3819,106.40114264
2017-09,117.5719,104.41921922
2017-10,119.3528,102.86114779
2017-11,120.994,101.4659074
2017-12,124.7956,98.37499078
2018-01,126.9887,96.6760507
2018-02,130.0606,94.39266004
2018-03,133.1054,92.23341803
2018-04,136.7512,89.77446633
2018-05,139.5893,87.94919095
2018-06,144.8053,84.7811924
2018-07,149.2966,82.23071389
2018-08,155.1034,79.1521398
2018-09,165.2383,74.29733906
2018-10,174.1473,70.49644755
2018-11,179.6388,68.34139395
2018-12,184.2552,66.62914262
2019-01,189.6101,64.74742643
2019-02,196.7501,62.39776244
2019-03,205.9571,59.60836504
2019-04,213.0517,57.62341253
2019-05,219.5691,55.91299504
2019-06,225.537,54.43348985
2019-07,230.494,53.26284415
2019-08,239.6077,51.23694272
2019-09,253.7102,48.38893352
2019-10,262.0661,46.8460667
2019-11,273.2158,44.93431932
2019-12,283.4442,43.3128143
2020-01,289.8299,42.35852133
2020-02,295.666,41.5224138
2020-03,305.5515,40.17904019
2020-04,310.1243,39.58659802
2020-05,314.9087,38.98515983
2020-06,321.9738,38.12970496
2020-07,328.2014,37.40619632
2020-08,337.0632,36.42274209
2020-09,346.6207,35.41844443
2020-10,359.657,34.13465051
2020-11,371.0211,33.08913159
2020-12,385.8826,31.81476957
2021-01,401.5071,30.5767096
2021-02,415.8595,29.52142731
2021-03,435.8657,28.16639621
2021-04,453.6503,27.06217983
2021-05,468.725,26.19183103
2021-06,483.6049,25.38594212
2021-07,498.0987,24.64725565
2021-08,510.3942,24.05349826
2021-09,528.4968,23.22959382
2021-10,547.0802,22.44052335
2021-11,560.9184,21.88690191
2021-12,582.4575,21.07753098
2022-01,605.0317,20.29111202
2022-02,633.4341,19.3812837
2022-03,676.0566,18.159376
2022-04,716.9399,17.1238426
2022-05,753.147,16.30062392
2022-06,793.0278,15.48087722
2022-07,851.761,14.41339296
2022-08,911.1316,13.47419626
2022-09,967.3076,12.69168773
2022-10,1028.706,11.93418333
2022-11,1079.2787,11.37497293
2022-12,1134.5875,10.82046647
2023-01,1202.979,10.20530367
2023-02,1282.7091,9.57096664
2023-03,1381.1601,8.88873491
2023-04,1497.2147,8.19973648
2023-05,1613.5895,7.60835764
2023-06,1709.6115,7.1810268
2023-07,1818.0838,6.75258533
2023-08,2044.2832,6.00541354
2023-09,2304.9242,5.32632093
2023-10,2496.273,4.91803821
2023-11,2816.0628,4.35954979
2023-12,3533.1922,3.47469521
2024-01,4261.5324,2.88083366
2024-02,4825.7881,2.54399193
2024-03,5357.0929,2.29168436
2024-04,5830.2271,2.10570974
2024-05,6073.7165,2.02129388
2024-06,6351.7145,1.93282711
2024-07,6607.7479,1.85793499
2024-08,6883.4412,1.78352159
2024-09,7122.2421,1.72372208
2024-10,7313.9542,1.67854018
2024-11,7491.4314,1.6387744
2024-12,7694.0075,1.59562699
2025-01,7864.1257,1.56111009
2025-02,8052.9927,1.52449735
2025-03,8353.3158,1.46968776
2025-04,8585.6078,1.42992392
2025-05,8714.4871,1.40877666
2025-06,8855.5681,1.38633297
2025-07,9023.973,1.3604613
2025-08,9193.2441,1.33541173
2025-09,9384.0922,1.30825292
2025-10,9603.8623,1.2783155
2025-11,9841.3581,1.24746665
2025-12,10121.3715,1.21295479
2026-01,10413.0309,1.17898104
2026-02,10714.6255,1.14579516
2026-03,11077.0608,1.10830537
2026-04,11363.0904,1.08040732
2026-05,11607.3937,1.05766775
2026-06,11826.4103,1.03808051
2026-07,12076.3937,1.01659206
2026-08,12276.766,1.0
