ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim1,programacion_trim1,programacion_acumulada_trim1,ejecutado_vigente_trim1,ejecutado_acumulado_trim1,porc_desvio_acum_trim1,ultima_actualizacion_fecha,filas_csv,causas,requiere_revision_clave
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,359,Porcentaje de bancas ocupadas por mujeres en la Cámara de Senadores del Congreso Nacional,1187,Porcentaje,Suma: el total es la suma de las cantidades,47.0,47.0,47.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[2],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,640,Participación de Actividades Culturales en la Cámara,45,Visitante,Suma: el total es la suma de las cantidades,82931.0,82931.0,82931.0,11647.0,11647.0,10347.0,10347.0,-11.16,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[3],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Durante el primer trimestre de 2026, el volumen de visitantes creció respecto al año  anterior, a pesar de que la cantidad de visitas disminuyó levemente.  Debido a la menor disponibilidad de personal durante el periodo estival, en enero y  febrero se decidió reducir la oferta para el público en general de cinco a cuatro  turnos diarios. No obstante, la proyección inicial no contemplaba una baja en el nivel  de actividad, ya que se preveía compensar dicha reducción con un aumento de  reservas privadas para el personal de nuevos despachos y autoridades.  Finalmente, el crecimiento en el total de público se logró mediante una estrategia de  optimización que priorizó aumentar el cupo de los turnos disponibles y por la alta  demanda de visitas institucionales en enero, cumpliendo con el objetivo de  aumentar el flujo de personas a pesar de no contar con solicitudes para visitas  educativas.-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Meta,4430,Desarrollo de Actividades Culturales,972,Visita Guiada,Suma: el total es la suma de las cantidades,2880.0,2880.0,2880.0,640.0,640.0,648.0,648.0,1.25,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[4],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Durante el primer trimestre de 2026, el volumen de visitantes creció respecto al año  anterior, a pesar de que la cantidad de visitas disminuyó levemente.  Debido a la menor disponibilidad de personal durante el periodo estival, en enero y  febrero se decidió reducir la oferta para el público en general de cinco a cuatro  turnos diarios. No obstante, la proyección inicial no contemplaba una baja en el nivel  de actividad, ya que se preveía compensar dicha reducción con un aumento de  reservas privadas para el personal de nuevos despachos y autoridades.  Finalmente, el crecimiento en el total de público se logró mediante una estrategia de  optimización que priorizó aumentar el cupo de los turnos disponibles y por la alta  demanda de visitas institucionales en enero, cumpliendo con el objetivo de  aumentar el flujo de personas a pesar de no contar con solicitudes para visitas  educativas.""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Meta,4807,Difusión de Actividades Legislativas en Escuelas,2288,Institución Educativa Visitada,Suma: el total es la suma de las cantidades,20.0,20.0,20.0,4.0,4.0,2.0,2.0,-50.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[5],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Las variaciones entre la planificación y la ejecución se deben principalmente a la agenda cambiante de los senadores. Estos cambios requieren ajustes en la programación y la redistribución de actividades, afectando directamente las estimaciones iniciales.-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,622,Formación y Sanción Legislativa,2266,Sesión Legislativa,Suma: el total es la suma de las cantidades,36.0,12.0,12.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[6],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,622,Formación y Sanción Legislativa,2267,Reunión de Comisión,Suma: el total es la suma de las cantidades,72.0,184.0,184.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[7],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,623,Participación de Eventos Realizados en la Cámara,45,Visitante,Suma: el total es la suma de las cantidades,20000.0,27964.0,27964.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[8],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4430,Desarrollo de Actividades Culturales,972,Visita Guiada,Suma: el total es la suma de las cantidades,144.0,1344.0,1344.0,336.0,336.0,336.0,336.0,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[9],"[{""causa_desvio"": ""La Mejora se Mantendrá"", ""causa_desvio_detalle"": ""La Mejora se Mantendrá"", ""causa_desvio_comentario"": ""La cantidad de visitas guiadas está relacionada directamente a la demanda espontánea del publico""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4430,Desarrollo de Actividades Culturales,1440,Evento Realizado,Suma: el total es la suma de las cantidades,50.0,82.0,82.0,17.0,17.0,17.0,17.0,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[10],"[{""causa_desvio"": ""Otras causas"", ""causa_desvio_detalle"": ""Otras causas"", ""causa_desvio_comentario"": ""La cantidad de eventos está relacionada directamente a las efemérides y agenda.""}]",False
2026,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4804,Formación y Sanción Legislativa,2284,Dictamen Aprobado,Suma: el total es la suma de las cantidades,20.0,400.0,400.0,20.0,20.0,20.0,20.0,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[11],"[{""causa_desvio"": ""Otras causas"", ""causa_desvio_detalle"": ""Otras causas"", ""causa_desvio_comentario"": ""Resultado de reuniones de Comision y debate de sus integrantes.-""}]",False
