jurisdiccion_id,servicio_id,programa_id,subprograma_id,proyecto_id,obra_id,obra,financiero_acumulado_2025_millones,credito_inicial_2026_millones,credito_vigente_marzo2026_millones,devengado_1t2026_millones,avance_fisico_acumulado_2025_pct,programacion_fisica_inicial_2026_pct,ejecucion_fisica_1t2026_pct,corte,fila_excel
1,313,48,0,5,51,"Instalación de Sistema de Detección Temprana de Incendios, Sistema de Climatización y Ventilaciones Confitería del Molino",357.0,337.0,337.0,84.25,35.0,65.0,0.0,2026-03-31,3
5,320,1,0,4,51,"Adecuación y Mantenimiento en Garantía e Integral Preventivo, Correctivo de 3 Ascensores Electromecánicos – Libertad N°731, CABA",612.30288,36.89765,37.99765,3.366082,92.5,7.5,0.77,2026-03-31,4
5,320,22,1,15,51,"Readecuación Eléctrica de la Planta Baja y Exteriores, Edificio Comodoro Py 2002, CABA",786.256482,636.781776,636.781776,109.424328,79.79,20.21,20.05,2026-03-31,5
5,320,23,2,12,51,"Adecuación de 11 Ascensores Cámara Nacional Civil, Juzgados Nacionales Civiles, Talcahuano Nº 490 y Uruguay Nº 714, C.A.B.A.",,0.0,40.0,0.0,12.34,,,2026-03-31,6
5,320,23,4,12,51,"Adecuación y Mantenimiento de Ascensores – Perón 990, Diagonal Roque Sáenz Peña 760.",353.85913,34.124162,34.124162,1.00476,96.43,3.57,0.39,2026-03-31,7
5,320,24,4,18,51,Adecuación de Ascensores Fuero Federal de la Seguridad Social Lavalle 1268,,0.0,27.0,0.0,9.93,,,2026-03-31,8
5,320,24,8,21,51,"Unificación de Tomas de Energía, Tablero general y Seccionales. Cámara Federal de Apelaciones de Mar del Plata. Av. Pueyrredón N",,0.0,8.0,7.68694,98.67,,,2026-03-31,9
5,320,24,9,1,51,Remodelación de la Instalación Eléctrica - Tribunal Oral Criminal Federal de Bahía Blanca.,,0.0,17.0,0.0,99.62,,,2026-03-31,10
5,320,24,9,3,51,Renovación de Instalación Eléctrica - JF N° 1 Bahía Blanca - Alsina N° 317,,0.0,16.6,0.0,51.13,,,2026-03-31,11
5,320,24,10,6,51,"Adecuación Integral del Edificio Sede del Juzgado Federal N°2 de San Juan, Entre Ríos Sur 282, Provincia de San Juan",0.0,1603.323264,293.623264,0.0,0.0,0.0,0.0,2026-03-31,12
5,320,24,12,2,51,"Ampliación y Remodelación del Edificio para la Justicia Federal. - Cámara Federal de Apelaciones General Roca - España 1690, Gra",0.0,215.5,215.5,0.0,0.0,,0.0,2026-03-31,13
5,320,24,18,12,51,"Ampliación del Edificio con destino al Juzgado Federal N°3 Tucumán, Congreso N°319 – Tucumán.",0.0,516.314328,516.314328,0.0,0.0,26.67,0.0,2026-03-31,14
5,320,24,20,12,51,Adecuación de Inmueble para la Instalación de la Secretaría Electoral de Ushuaia,0.0,461.727731,461.727731,0.0,0.0,37.5,0.0,2026-03-31,15
5,320,24,22,2,51,"Readecuación del Tablero General del Edificio, Montantes y Tableros Seccionales. - Cámara Nacional en lo Penal Económico - Av. d",0.0,0.0,1200.0,0.0,0.0,100.0,0.0,2026-03-31,16
5,335,4,0,1,51,Adecuación para la Instalación Subdirección de Notificaciones,12.057654,1.0,1.0,0.0,99.5,,,2026-03-31,17
5,335,4,0,4,51,Provisión e instalación de nuevo sistema central de aire acondicionado - J. Jaures 545 CABA,0.0,102.128511,0.128511,0.0,0.0,,,2026-03-31,18
5,335,5,0,5,51,Adecuación de Espacios de Detenidos en Tránsito,5.188149,1.0,1.0,0.0,99.5,,,2026-03-31,19
5,335,5,0,8,51,Adecuación y Mantenimiento de la Instalación Termomecánica Edificio Bartolome Mitre 718,0.0,59.574965,59.574965,0.0,0.0,,,2026-03-31,20
5,335,5,0,9,51,Readecuación Parcial Lavalle 1429 - Reemplazo de Placas de Marmol,4.280535,1.0,1.0,0.0,99.0,,,2026-03-31,21
5,335,5,0,12,51,Readecuación y Refuncionalización Integral de la Morgue Judicial - Etapa I - PB 1 con Acceso a Viamonte 2151 - CABA,0.0,536.375538,336.375538,0.0,0.0,,,2026-03-31,22
