provincia_id,anio,habitantes,provincia,tipo
2,2022,3121189,CABA,Proyección INDEC al 1 de julio
2,2023,3107894,CABA,Proyección INDEC al 1 de julio
2,2024,3093735,CABA,Proyección INDEC al 1 de julio
2,2025,3079674,CABA,Proyección INDEC al 1 de julio
2,2026,3065991,CABA,Proyección INDEC al 1 de julio
2,2027,3052432,CABA,Proyección INDEC al 1 de julio
2,2028,3038998,CABA,Proyección INDEC al 1 de julio
2,2029,3025765,CABA,Proyección INDEC al 1 de julio
2,2030,3012826,CABA,Proyección INDEC al 1 de julio
2,2031,3000505,CABA,Proyección INDEC al 1 de julio
2,2032,2989091,CABA,Proyección INDEC al 1 de julio
2,2033,2978880,CABA,Proyección INDEC al 1 de julio
2,2034,2970026,CABA,Proyección INDEC al 1 de julio
2,2035,2961850,CABA,Proyección INDEC al 1 de julio
2,2036,2953747,CABA,Proyección INDEC al 1 de julio
2,2037,2945706,CABA,Proyección INDEC al 1 de julio
2,2038,2937720,CABA,Proyección INDEC al 1 de julio
2,2039,2929830,CABA,Proyección INDEC al 1 de julio
2,2040,2921997,CABA,Proyección INDEC al 1 de julio
6,2022,17409376,Buenos Aires,Proyección INDEC al 1 de julio
6,2023,17418577,Buenos Aires,Proyección INDEC al 1 de julio
6,2024,17431446,Buenos Aires,Proyección INDEC al 1 de julio
6,2025,17443372,Buenos Aires,Proyección INDEC al 1 de julio
6,2026,17453039,Buenos Aires,Proyección INDEC al 1 de julio
6,2027,17460685,Buenos Aires,Proyección INDEC al 1 de julio
6,2028,17466959,Buenos Aires,Proyección INDEC al 1 de julio
6,2029,17472843,Buenos Aires,Proyección INDEC al 1 de julio
6,2030,17479673,Buenos Aires,Proyección INDEC al 1 de julio
6,2031,17488310,Buenos Aires,Proyección INDEC al 1 de julio
6,2032,17498749,Buenos Aires,Proyección INDEC al 1 de julio
6,2033,17510882,Buenos Aires,Proyección INDEC al 1 de julio
6,2034,17524610,Buenos Aires,Proyección INDEC al 1 de julio
6,2035,17540026,Buenos Aires,Proyección INDEC al 1 de julio
6,2036,17557069,Buenos Aires,Proyección INDEC al 1 de julio
6,2037,17575301,Buenos Aires,Proyección INDEC al 1 de julio
6,2038,17594223,Buenos Aires,Proyección INDEC al 1 de julio
6,2039,17613248,Buenos Aires,Proyección INDEC al 1 de julio
6,2040,17631770,Buenos Aires,Proyección INDEC al 1 de julio
10,2022,434741,Catamarca,Proyección INDEC al 1 de julio
10,2023,436077,Catamarca,Proyección INDEC al 1 de julio
10,2024,437508,Catamarca,Proyección INDEC al 1 de julio
10,2025,439024,Catamarca,Proyección INDEC al 1 de julio
10,2026,440503,Catamarca,Proyección INDEC al 1 de julio
10,2027,441923,Catamarca,Proyección INDEC al 1 de julio
10,2028,443302,Catamarca,Proyección INDEC al 1 de julio
10,2029,444639,Catamarca,Proyección INDEC al 1 de julio
10,2030,445966,Catamarca,Proyección INDEC al 1 de julio
10,2031,447263,Catamarca,Proyección INDEC al 1 de julio
10,2032,448557,Catamarca,Proyección INDEC al 1 de julio
10,2033,449850,Catamarca,Proyección INDEC al 1 de julio
10,2034,451092,Catamarca,Proyección INDEC al 1 de julio
10,2035,452321,Catamarca,Proyección INDEC al 1 de julio
10,2036,453513,Catamarca,Proyección INDEC al 1 de julio
10,2037,454671,Catamarca,Proyección INDEC al 1 de julio
10,2038,455774,Catamarca,Proyección INDEC al 1 de julio
10,2039,456806,Catamarca,Proyección INDEC al 1 de julio
10,2040,457763,Catamarca,Proyección INDEC al 1 de julio
14,2022,3923244,Córdoba,Proyección INDEC al 1 de julio
14,2023,3934514,Córdoba,Proyección INDEC al 1 de julio
14,2024,3946289,Córdoba,Proyección INDEC al 1 de julio
14,2025,3957565,Córdoba,Proyección INDEC al 1 de julio
14,2026,3968336,Córdoba,Proyección INDEC al 1 de julio
14,2027,3978566,Córdoba,Proyección INDEC al 1 de julio
14,2028,3988364,Córdoba,Proyección INDEC al 1 de julio
14,2029,3997839,Córdoba,Proyección INDEC al 1 de julio
14,2030,4007292,Córdoba,Proyección INDEC al 1 de julio
14,2031,4016866,Córdoba,Proyección INDEC al 1 de julio
14,2032,4026568,Córdoba,Proyección INDEC al 1 de julio
14,2033,4036352,Córdoba,Proyección INDEC al 1 de julio
14,2034,4046192,Córdoba,Proyección INDEC al 1 de julio
14,2035,4056111,Córdoba,Proyección INDEC al 1 de julio
14,2036,4066134,Córdoba,Proyección INDEC al 1 de julio
14,2037,4076173,Córdoba,Proyección INDEC al 1 de julio
14,2038,4086175,Córdoba,Proyección INDEC al 1 de julio
14,2039,4096034,Córdoba,Proyección INDEC al 1 de julio
14,2040,4105637,Córdoba,Proyección INDEC al 1 de julio
18,2022,1189015,Corrientes,Proyección INDEC al 1 de julio
18,2023,1193970,Corrientes,Proyección INDEC al 1 de julio
18,2024,1199120,Corrientes,Proyección INDEC al 1 de julio
18,2025,1203905,Corrientes,Proyección INDEC al 1 de julio
18,2026,1208334,Corrientes,Proyección INDEC al 1 de julio
18,2027,1212387,Corrientes,Proyección INDEC al 1 de julio
18,2028,1216312,Corrientes,Proyección INDEC al 1 de julio
18,2029,1220239,Corrientes,Proyección INDEC al 1 de julio
18,2030,1224094,Corrientes,Proyección INDEC al 1 de julio
18,2031,1227937,Corrientes,Proyección INDEC al 1 de julio
18,2032,1231780,Corrientes,Proyección INDEC al 1 de julio
18,2033,1235592,Corrientes,Proyección INDEC al 1 de julio
18,2034,1239335,Corrientes,Proyección INDEC al 1 de julio
18,2035,1243054,Corrientes,Proyección INDEC al 1 de julio
18,2036,1246716,Corrientes,Proyección INDEC al 1 de julio
18,2037,1250294,Corrientes,Proyección INDEC al 1 de julio
18,2038,1253758,Corrientes,Proyección INDEC al 1 de julio
18,2039,1257074,Corrientes,Proyección INDEC al 1 de julio
18,2040,1260197,Corrientes,Proyección INDEC al 1 de julio
22,2022,1190747,Chaco,Proyección INDEC al 1 de julio
22,2023,1194631,Chaco,Proyección INDEC al 1 de julio
22,2024,1200849,Chaco,Proyección INDEC al 1 de julio
22,2025,1207608,Chaco,Proyección INDEC al 1 de julio
22,2026,1214280,Chaco,Proyección INDEC al 1 de julio
22,2027,1220810,Chaco,Proyección INDEC al 1 de julio
22,2028,1227236,Chaco,Proyección INDEC al 1 de julio
22,2029,1233474,Chaco,Proyección INDEC al 1 de julio
22,2030,1239460,Chaco,Proyección INDEC al 1 de julio
22,2031,1245335,Chaco,Proyección INDEC al 1 de julio
22,2032,1251078,Chaco,Proyección INDEC al 1 de julio
22,2033,1256661,Chaco,Proyección INDEC al 1 de julio
22,2034,1262126,Chaco,Proyección INDEC al 1 de julio
22,2035,1267470,Chaco,Proyección INDEC al 1 de julio
22,2036,1272712,Chaco,Proyección INDEC al 1 de julio
22,2037,1277838,Chaco,Proyección INDEC al 1 de julio
22,2038,1282816,Chaco,Proyección INDEC al 1 de julio
22,2039,1287635,Chaco,Proyección INDEC al 1 de julio
22,2040,1292272,Chaco,Proyección INDEC al 1 de julio
26,2022,597366,Chubut,Proyección INDEC al 1 de julio
26,2023,598946,Chubut,Proyección INDEC al 1 de julio
26,2024,600674,Chubut,Proyección INDEC al 1 de julio
26,2025,602348,Chubut,Proyección INDEC al 1 de julio
26,2026,603930,Chubut,Proyección INDEC al 1 de julio
26,2027,605453,Chubut,Proyección INDEC al 1 de julio
26,2028,606918,Chubut,Proyección INDEC al 1 de julio
26,2029,608334,Chubut,Proyección INDEC al 1 de julio
26,2030,609723,Chubut,Proyección INDEC al 1 de julio
26,2031,611108,Chubut,Proyección INDEC al 1 de julio
26,2032,612492,Chubut,Proyección INDEC al 1 de julio
26,2033,613878,Chubut,Proyección INDEC al 1 de julio
26,2034,615250,Chubut,Proyección INDEC al 1 de julio
26,2035,616643,Chubut,Proyección INDEC al 1 de julio
26,2036,618023,Chubut,Proyección INDEC al 1 de julio
26,2037,619407,Chubut,Proyección INDEC al 1 de julio
26,2038,620771,Chubut,Proyección INDEC al 1 de julio
26,2039,622103,Chubut,Proyección INDEC al 1 de julio
26,2040,623370,Chubut,Proyección INDEC al 1 de julio
30,2022,1449787,Entre Ríos,Proyección INDEC al 1 de julio
30,2023,1452721,Entre Ríos,Proyección INDEC al 1 de julio
30,2024,1456015,Entre Ríos,Proyección INDEC al 1 de julio
30,2025,1459182,Entre Ríos,Proyección INDEC al 1 de julio
30,2026,1462153,Entre Ríos,Proyección INDEC al 1 de julio
30,2027,1464903,Entre Ríos,Proyección INDEC al 1 de julio
30,2028,1467496,Entre Ríos,Proyección INDEC al 1 de julio
30,2029,1469959,Entre Ríos,Proyección INDEC al 1 de julio
30,2030,1472359,Entre Ríos,Proyección INDEC al 1 de julio
30,2031,1474819,Entre Ríos,Proyección INDEC al 1 de julio
30,2032,1477276,Entre Ríos,Proyección INDEC al 1 de julio
30,2033,1479768,Entre Ríos,Proyección INDEC al 1 de julio
30,2034,1482249,Entre Ríos,Proyección INDEC al 1 de julio
30,2035,1484741,Entre Ríos,Proyección INDEC al 1 de julio
30,2036,1487238,Entre Ríos,Proyección INDEC al 1 de julio
30,2037,1489714,Entre Ríos,Proyección INDEC al 1 de julio
