tipo_id,tipo_desc,recurso_inicial,recurso_vigente,recurso_ingresado_percibido
11,Ingresos impositivos,90308957.677927,90313857.098309,62247115.29923264
12,Ingresos no impositivos,2855067.360658,3143803.303906,2597487.90847299
13,Aportes y contribuciones,47652939.724814,50170695.324245,37233779.20418888
14,Venta de bienes y servicios de administraciones públicas,333140.929401,363423.757259,206363.23452653
16,Rentas de la propiedad,6745375.541615,31218237.448776,30672841.85128734
17,Transferencias corrientes,42815.0,43296.270599,38485.09055625
21,Recursos propios de capital,317.528025,225477.173624,227936.46744363
22,Transferencias de capital,356238.0,373967.575774,178625.08132674
32,Venta de acciones y participaciones de capital,0.0,1039903.334799,1039903.33479815
33,Recuperación de préstamos de corto plazo,699.305782,699.305782,332.66420202
34,Recuperación de préstamos de largo plazo,211.613376,211.613376,161.92711662
