impacto_presupuestario_mes,tipo_id,tipo_desc,recurso_ingresado_percibido,periodo,mes_completo,recurso_real_agosto2026
1,11,Ingresos impositivos,6016583.05824808,2025-01,True,9392548.53539231
1,12,Ingresos no impositivos,200500.42964121,2025-01,True,313003.24429003
1,13,Aportes y contribuciones,3853397.2730822,2025-01,True,6015577.37393087
1,14,Venta de bienes y servicios de administraciones públicas,15447.31268248,2025-01,True,24114.95573267
1,16,Rentas de la propiedad,528693.09163805,2025-01,True,825348.1212612
1,17,Transferencias corrientes,5664.76240271,2025-01,True,8843.31775924
1,21,Recursos propios de capital,11.2632231,2025-01,True,17.58313126
1,22,Transferencias de capital,7.2576,2025-01,True,11.32991261
1,33,Recuperación de préstamos de corto plazo,5.00988245,2025-01,True,7.82097806
1,34,Recuperación de préstamos de largo plazo,43.88307934,2025-01,True,68.50631805
2,11,Ingresos impositivos,5275974.21109797,2025-02,True,8043208.6833612
2,12,Ingresos no impositivos,164610.36357338,2025-02,True,250948.06242222
2,13,Aportes y contribuciones,3026695.01445464,2025-02,True,4614188.51724853
2,14,Venta de bienes y servicios de administraciones públicas,19060.80682289,2025-02,True,29058.14941765
2,16,Rentas de la propiedad,171762.21497379,2025-02,True,261851.04090246
2,17,Transferencias corrientes,980.27990526,2025-02,True,1494.43411409
2,21,Recursos propios de capital,23.79000147,2025-02,True,36.26779411
2,22,Transferencias de capital,13552.40554439,2025-02,True,20660.60628685
2,32,Venta de acciones y participaciones de capital,0.0,2025-02,True,0.0
2,33,Recuperación de préstamos de corto plazo,4.17853241,2025-02,True,6.37016157
2,34,Recuperación de préstamos de largo plazo,6.34438198,2025-02,True,9.67199349
3,11,Ingresos impositivos,5020465.32996334,2025-03,True,7378516.45296024
3,12,Ingresos no impositivos,163849.5841454,2025-03,True,240807.72856096
3,13,Aportes y contribuciones,3082710.03671956,2025-03,True,4530621.21351349
3,14,Venta de bienes y servicios de administraciones públicas,15909.22689152,2025-03,True,23381.59605891
3,16,Rentas de la propiedad,194427.59454108,2025-03,True,285747.85621342
3,17,Transferencias corrientes,4722.8419408,2025-03,True,6941.10300034
3,21,Recursos propios de capital,6.54611902,2025-03,True,9.62075101
3,22,Transferencias de capital,20835.29755459,2025-03,True,30621.38182518
3,32,Venta de acciones y participaciones de capital,0.08669574,2025-03,True,0.12741567
3,33,Recuperación de préstamos de corto plazo,5.90543198,2025-03,True,8.67914111
3,34,Recuperación de préstamos de largo plazo,7.19643843,2025-03,True,10.57651749
4,11,Ingresos impositivos,5548811.70451814,2025-04,True,7934378.60909863
4,12,Ingresos no impositivos,260366.07339089,2025-04,True,372303.67748207
4,13,Aportes y contribuciones,3210067.50976623,2025-04,True,4590152.33162674
4,14,Venta de bienes y servicios de administraciones públicas,17128.25769241,2025-04,True,24492.10546019
4,16,Rentas de la propiedad,12244174.11316323,2025-04,True,17508237.50073495
4,17,Transferencias corrientes,30451.70257527,2025-04,True,43543.61805558
4,22,Transferencias de capital,27269.31077684,2025-04,True,38993.03988572
4,33,Recuperación de préstamos de corto plazo,5.21991884,2025-04,True,7.46408683
4,34,Recuperación de préstamos de largo plazo,49.99796739,2025-04,True,71.49328975
5,11,Ingresos impositivos,6404292.12172418,2025-05,True,9022217.24260184
5,12,Ingresos no impositivos,233388.07136603,2025-05,True,328791.66685003
5,13,Aportes y contribuciones,3246171.76834283,2025-05,True,4573131.01028644
5,14,Venta de bienes y servicios de administraciones públicas,17759.63806164,2025-05,True,25019.36352943
5,16,Rentas de la propiedad,360246.58743223,2025-05,True,507506.9829645
5,17,Transferencias corrientes,5042.49023983,2025-05,True,7103.74254059
5,21,Recursos propios de capital,0.0,2025-05,True,0.0
5,22,Transferencias de capital,25217.09087219,2025-05,True,35525.24896601
5,33,Recuperación de préstamos de corto plazo,7.14208613,2025-05,True,10.06160422
5,34,Recuperación de préstamos de largo plazo,6.53893269,2025-05,True,9.21189573
6,11,Ingresos impositivos,6706423.39799265,2025-06,True,9297335.84840036
6,12,Ingresos no impositivos,176161.96759911,2025-06,True,244219.1432432
6,13,Aportes y contribuciones,3179716.01445197,2025-06,True,4408145.13705557
6,14,Venta de bienes y servicios de administraciones públicas,16032.20030823,2025-06,True,22225.96782348
6,16,Rentas de la propiedad,584441.95182964,2025-06,True,810231.14521538
6,17,Transferencias corrientes,4696.04814622,2025-06,True,6510.2863605
6,21,Recursos propios de capital,4.94060126,2025-06,True,6.8493184
6,22,Transferencias de capital,53839.93058902,2025-06,True,74640.07072541
6,33,Recuperación de préstamos de corto plazo,7.99307216,2025-06,True,11.08105944
6,34,Recuperación de préstamos de largo plazo,6.94079477,2025-06,True,9.62225261
7,11,Ingresos impositivos,6882183.79780253,2025-07,True,9362944.68684835
7,12,Ingresos no impositivos,250288.71016634,2025-07,True,340508.10293359
7,13,Aportes y contribuciones,4361394.86917275,2025-07,True,5933508.91480221
7,14,Venta de bienes y servicios de administraciones públicas,22102.02931351,2025-07,True,30068.9554376
7,16,Rentas de la propiedad,533263.2745422,2025-07,True,725484.04543634
7,17,Transferencias corrientes,1585.63980488,2025-07,True,2157.20158347
7,21,Recursos propios de capital,47689.4941644,2025-07,True,64879.71102248
7,22,Transferencias de capital,9033.23487756,2025-07,True,12289.36642595
7,32,Venta de acciones y participaciones de capital,0.0,2025-07,True,0.0
7,33,Recuperación de préstamos de corto plazo,9.94010167,2025-07,True,13.5231236
7,34,Recuperación de préstamos de largo plazo,49.23052094,2025-07,True,66.97621831
8,11,Ingresos impositivos,6080194.68682993,2025-08,True,8119563.30025593
8,12,Ingresos no impositivos,231881.35843744,2025-08,True,309657.0858266
8,13,Aportes y contribuciones,3276810.62728602,2025-08,True,4375891.34585295
8,14,Venta de bienes y servicios de administraciones públicas,19099.30842938,2025-08,True,25505.44049508
8,16,Rentas de la propiedad,656396.44854124,2025-08,True,876559.51634873
8,17,Transferencias corrientes,10169.14173215,2025-08,True,13579.99114441
8,21,Recursos propios de capital,335.49,2025-08,True,448.01728101
8,22,Transferencias de capital,5153.65342085,2025-08,True,6882.24922613
8,33,Recuperación de préstamos de corto plazo,12.55353611,2025-08,True,16.76413936
8,34,Recuperación de préstamos de largo plazo,8.24950521,2025-08,True,11.01648602
9,11,Ingresos impositivos,6299343.76183709,2025-09,True,8241134.85560529
9,12,Ingresos no impositivos,184920.57498645,2025-09,True,241922.88175665
9,13,Aportes y contribuciones,3297633.38510214,2025-09,True,4314138.4973484
9,14,Venta de bienes y servicios de administraciones públicas,21418.99061609,2025-09,True,28021.45696628
9,16,Rentas de la propiedad,450567.9221762,2025-09,True,589456.79877947
9,17,Transferencias corrientes,5138.28401813,2025-09,True,6722.17505835
9,21,Recursos propios de capital,28890.87175848,2025-09,True,37796.56727103
9,22,Transferencias de capital,36704.90037093,2025-09,True,48019.29300175
9,33,Recuperación de préstamos de corto plazo,14.66144024,2025-09,True,19.18087197
9,34,Recuperación de préstamos de largo plazo,8.76724327,2025-09,True,11.46977159
10,11,Ingresos impositivos,6559404.72593928,2025-10,True,8384988.70601785
10,12,Ingresos no impositivos,280419.07379334,2025-10,True,358464.04741742
10,13,Aportes y contribuciones,3368259.29903455,2025-10,True,4305698.05666322
10,14,Venta de bienes y servicios de administraciones públicas,18437.6172897,2025-10,True,23569.09189162
10,16,Rentas de la propiedad,827017.20114884,2025-10,True,1057188.90372671
10,17,Transferencias corrientes,6216.13990821,2025-10,True,7946.18797027
10,21,Recursos propios de capital,18.559478,2025-10,True,23.72486833
10,22,Transferencias de capital,33957.95862467,2025-10,True,43408.98472407
10,32,Venta de acciones y participaciones de capital,0.0,2025-10,True,0.0
10,33,Recuperación de préstamos de corto plazo,15.63150091,2025-10,True,19.98198984
10,34,Recuperación de préstamos de largo plazo,56.73901275,2025-10,True,72.53035923
11,11,Ingresos impositivos,5913073.18850802,2025-11,True,7376361.58938133
11,12,Ingresos no impositivos,230698.44848589,2025-11,True,287788.62021333
11,13,Aportes y contribuciones,3440239.74181219,2025-11,True,4291584.33876404
11,14,Venta de bienes y servicios de administraciones públicas,16023.07479147,2025-11,True,19988.25139951
11,16,Rentas de la propiedad,461268.5997798,2025-11,True,575417.19395865
11,17,Transferencias corrientes,822.94276654,2025-11,True,1026.59365441
11,21,Recursos propios de capital,6466.44703591,2025-11,True,8066.67700785
11,22,Transferencias de capital,31237.16886724,2025-11,True,38967.32633737
11,33,Recuperación de préstamos de corto plazo,16.40431469,2025-11,True,20.46383546
11,34,Recuperación de préstamos de largo plazo,7.05471975,2025-11,True,8.8005276
12,11,Ingresos impositivos,6314199.96786881,2025-12,True,7658839.06965898
12,12,Ingresos no impositivos,194070.33976313,2025-12,True,235398.54740165
12,13,Aportes y contribuciones,3489964.28805313,2025-12,True,4233168.88553936
12,14,Venta de bienes y servicios de administraciones públicas,21121.27186717,2025-12,True,25619.14779392
12,16,Rentas de la propiedad,660506.08718691,2025-12,True,801164.01951744
12,17,Transferencias corrientes,44956.2567056,2025-12,True,54529.90672367
12,21,Recursos propios de capital,14557.24139576,2025-12,True,17657.27561934
12,22,Transferencias de capital,19877.01248608,2025-12,True,24109.91742282
12,33,Recuperación de préstamos de corto plazo,22.41531696,2025-12,True,27.18876598
12,34,Recuperación de préstamos de largo plazo,8.24691072,2025-12,True,10.00312983
