periodo,indicador,nominal_millones,real_agosto2026,celda,archivo,comparable_2025_2026
2025-01,ingresos_totales,11100491.8,17329089.78216343,IMIG!G7,caja-2025-01.xlsx,True
2025-01,ingresos_tributarios,10441082.1,16299678.64431371,IMIG!G8,caja-2025-01.xlsx,True
2025-01,rentas_propiedad,185594.1,289732.82264303,IMIG!G18,caja-2025-01.xlsx,True
2025-01,otros_ingresos_corrientes,473755.5,739584.49249012,IMIG!G21,caja-2025-01.xlsx,True
2025-01,ingresos_capital,60.1,93.82271657,IMIG!G25,caja-2025-01.xlsx,True
2025-01,gasto_primario,8665626.5,13527996.98813296,IMIG!G27,caja-2025-01.xlsx,True
2025-01,prestaciones_sociales,5675504.3,8860087.0435087,IMIG!G29,caja-2025-01.xlsx,True
2025-01,subsidios_economicos,418328.3,653056.53116376,IMIG!G36,caja-2025-01.xlsx,True
2025-01,funcionamiento_y_otros,1784667.6,2786062.60235408,IMIG!G40,caja-2025-01.xlsx,True
2025-01,transferencias_corrientes_provincias,140697.2,219643.81892512,IMIG!G43,caja-2025-01.xlsx,False
2025-01,universidades,321169.2,501380.47956268,IMIG!G48,caja-2025-01.xlsx,True
2025-01,otros_gastos_corrientes,155591.6,242895.61708883,IMIG!G49,caja-2025-01.xlsx,False
2025-01,gasto_capital,169668.3,264870.89552979,IMIG!G51,caja-2025-01.xlsx,True
2025-01,resultado_primario,2434865.3,3801092.79403047,IMIG!G71,caja-2025-01.xlsx,True
2025-01,intereses_netos,1835112.1,2864812.02042188,IMIG!G73,caja-2025-01.xlsx,True
2025-01,resultado_financiero,599753.2,936280.77360859,IMIG!G75,caja-2025-01.xlsx,True
2025-02,ingresos_totales,9732768,14837578.9870377,IMIG!G7,caja-2025-02.xlsx,True
2025-02,ingresos_tributarios,9134600.1,13925673.61091444,IMIG!G8,caja-2025-02.xlsx,True
2025-02,rentas_propiedad,242071.5,369037.35933711,IMIG!G18,caja-2025-02.xlsx,True
2025-02,otros_ingresos_corrientes,356039.5,542781.27288716,IMIG!G21,caja-2025-02.xlsx,True
2025-02,ingresos_capital,56.9,86.743899,IMIG!G25,caja-2025-02.xlsx,True
2025-02,gasto_primario,8555852.7,13043374.73550276,IMIG!G27,caja-2025-02.xlsx,True
2025-02,prestaciones_sociales,5833982.0,8893890.0766931,IMIG!G29,caja-2025-02.xlsx,True
2025-02,subsidios_economicos,425779.8,649100.17515933,IMIG!G36,caja-2025-02.xlsx,True
2025-02,funcionamiento_y_otros,1534769.7,2339752.33465569,IMIG!G40,caja-2025-02.xlsx,True
2025-02,transferencias_corrientes_provincias,143860.6,219315.10292063,IMIG!G43,caja-2025-02.xlsx,False
2025-02,universidades,304755.4,464598.79853566,IMIG!G48,caja-2025-02.xlsx,True
2025-02,otros_gastos_corrientes,108350.8,165180.50705706,IMIG!G49,caja-2025-02.xlsx,False
2025-02,gasto_capital,204354.4,311537.7404813,IMIG!G51,caja-2025-02.xlsx,True
2025-02,resultado_primario,1176915.3,1794204.25153494,IMIG!G71,caja-2025-02.xlsx,True
2025-02,intereses_netos,866189.1,1320502.98424468,IMIG!G73,caja-2025-02.xlsx,True
2025-02,resultado_financiero,310726.2,473701.26729026,IMIG!G75,caja-2025-02.xlsx,True
2025-03,ingresos_totales,9476621.1,13927674.05194505,IMIG!G7,caja-2025-03.xlsx,True
2025-03,ingresos_tributarios,8834987.0,12984672.26775288,IMIG!G8,caja-2025-03.xlsx,True
2025-03,rentas_propiedad,251389.2,369463.63063721,IMIG!G18,caja-2025-03.xlsx,True
