indicador,agosto_2026,enero_agosto_2026,agosto_2025,enero_agosto_2025,enero_agosto_real_2025,enero_agosto_real_2026,cambio_real_acumulado_millones,variacion_real_acumulada_pct,estado_comparacion_real_acumulada
ingresos_totales,15027157.4,112375467.10000001,11366068,88085694.5,125979304.88417684,120714892.71380982,-5264412.170367017,-4.178791250838398,Comparable
ingresos_tributarios,13821783.5,102985585.2,10230957.4,81493779.30000001,116612993.41544114,110560493.27916904,-6052500.136272103,-5.190245065324484,Comparable
rentas_propiedad,451119.80000000005,3097251.8999999994,566743,2614361,3691422.08142654,3310763.719518678,-380658.3619078621,-10.311970658222801,Comparable
otros_ingresos_corrientes,728545.8999999999,5027388.300000001,568011.3,3931659.7,5611335.93989858,5380485.687869675,-230850.25202890486,-4.113998065727598,Comparable
ingresos_capital,25708.2,1265241.7,356.3000000000002,45894.50000000001,63553.447410579996,1463150.02725243,1399596.57984185,2202.2354992010296,Comparable
gasto_primario,13036835.6,100097783.4,9809203.999999998,77088925.50000001,110133403.48783463,107386900.99134724,-2746502.496487394,-2.493796077763799,Comparable
prestaciones_sociales,8401245.3,67270334,6281982.5,51588321.900000006,73747566.06300984,72214762.20927063,-1532803.853739217,-2.078446700775982,Comparable
subsidios_economicos,1270715.2000000002,7353803,929330.6000000001,4859640.800000001,6863135.8525585,7853404.329808077,990268.4772495767,14.42880482804978,Comparable
funcionamiento_y_otros,2050462.1,16807616.3,1750483.0999999999,13746137,19668804.136049822,18038801.081714585,-1630003.0543352365,-8.287250424888304,Comparable
transferencias_corrientes_provincias,168059.9,1257019.2,103397.5,1331376.2999999998,,,,,Reclasificación pendiente de conciliación
universidades,499670.29999999993,3597422.6999999993,341231.2,2457167.9000000004,3511510.14227456,3856836.6162366113,345326.4739620513,9.834130045780487,Comparable
otros_gastos_corrientes,242717,1738631.7,190489.7,1511999.2,,,,,Reclasificación pendiente de conciliación
gasto_capital,403965.8,2072956.5,212289.40000000002,1594282.4,2280955.38491342,2209541.889879286,-71413.49503413402,-3.130858915806667,Comparable
resultado_primario,1990321.8000000007,12277683.700000003,1556864.0000000019,10996768.999999985,15845901.39634219,13327991.722462576,-2517909.673879614,,Comparable
intereses_netos,1354793.2,9941063.899999999,1166563.5000000002,7679896.9,11042312.26274199,10705815.278880354,-336496.98386163637,-3.04734167858135,Comparable
resultado_financiero,635528.6000000008,2336619.8000000045,390300.50000000163,3316872.0999999847,4803589.13360019,2622176.4435822275,-2181412.690017963,,Comparable
