provincia_id,provincia,periodo,ron_2025,ron_2026,ron_real_2025,ron_real_2026,variacion_real_pct,pesos_por_habitante_2026
2,CABA,enero–agosto,839532.66365012,1096179.51562586,1201694.56458728,1176053.19283426,-2.13376781,357528.61493261
6,Buenos Aires,enero–agosto,8825962.90321842,11664703.40288892,12624285.40940718,12513797.20557096,-0.87520363,668347.9824281
10,Catamarca,enero–agosto,983747.43472865,1316050.54556945,1407004.44883289,1410874.72277663,0.27507191,2987608.58738635
14,Córdoba,enero–agosto,3228855.93382083,4254493.66775263,4617954.70137554,4560192.87596309,-1.2508097,1072110.24161075
18,Corrientes,enero–agosto,1387106.19964502,1826322.59026854,1983529.00368364,1957789.78144894,-1.29764789,1511438.5511527
22,Chaco,enero–agosto,1835269.4342634,2413777.38991253,2624573.21120316,2587646.16709121,-1.40697329,1987826.02852104
26,Chubut,enero–agosto,589808.83427508,777708.00360466,843360.18077659,833677.1567823,-1.14814811,1287745.27446006
30,Entre Ríos,enero–agosto,1776561.65032138,2334348.18573463,2540787.60539658,2502402.47674949,-1.51075708,1596514.3085126
34,Formosa,enero–agosto,1326709.9556046,1744552.19796476,1897366.01278295,1870232.6671159,-1.43005332,2774079.7835579
38,Jujuy,enero–agosto,1036618.06790218,1363975.85140414,1482471.9612606,1462275.68441942,-1.36233786,1698765.0748194
42,La Pampa,enero–agosto,690527.55596729,908037.75202618,987567.12559536,973430.05279339,-1.431505,2404359.84469269
46,La Rioja,enero–agosto,747023.12437532,980735.93737571,1068350.61094342,1051424.05282527,-1.58436359,2420130.08894882
50,Mendoza,enero–agosto,1518102.32691456,1997210.54043194,2171128.28408381,2141149.2405275,-1.3808048,973341.22537026
54,Misiones,enero–agosto,1238109.47658633,1633953.59604001,1770407.89317092,1751590.64941829,-1.06287618,1205844.00484418
58,Neuquén,enero–agosto,649221.32398482,857969.09053527,928351.1372283,919719.82121265,-0.92974691,1213376.88806445
62,Río Negro,enero–agosto,918488.63914821,1210186.24539317,1313569.85206651,1297357.73835099,-1.23420263,1526881.2703125
66,Salta,enero–agosto,1463255.38922275,1938618.07035395,2092131.80155804,2079336.96859669,-0.61156916,1299109.38883856
70,San Juan,enero–agosto,1216353.07195649,1599612.58384445,1739677.65289998,1714891.74566031,-1.42474137,1875834.90043875
74,San Luis,enero–agosto,817938.03456432,1075867.61048001,1169869.33812216,1153380.82803129,-1.40943177,1996592.03358252
78,Santa Cruz,enero–agosto,581087.9313485,765225.49787655,830940.23646504,820314.86504673,-1.27871668,2283600.81253297
82,Santa Fe,enero–agosto,3315807.669184,4357422.02501901,4742298.44220753,4671026.91036635,-1.50289006,1181294.79410917
86,Santiago del Estero,enero–agosto,1513026.32393647,1989773.65798002,2163783.96289631,2133183.92831909,-1.41419084,1877274.24433948
90,Tucumán,enero–agosto,1756222.05014771,2317585.62509347,2511704.79063643,2485156.83823478,-1.05696945,1303124.24800756
94,Tierra del Fuego,enero–agosto,448288.58431876,590563.38196616,641120.79373825,633103.51314617,-1.25051015,3231643.07427967
