ano,provincia,impuesto,regimen,monto,provincia_id,destino_provincial
2003,buenos aires,coparticipacion federal de impuestos ley 23548,coparticipacion federal de impuestos ley 23548,2787.1198,6.0,True
2003,buenos aires,transferencia de servicios ley 24049,transferencia de servicios ley 24049,443.76,6.0,True
2003,buenos aires,impuesto a las ganancias,obras de infraestructura basica social,650.0,6.0,True
2003,buenos aires,impuesto a las ganancias,ley 24699,97.0981,6.0,True
2003,buenos aires,impuesto sobre los bienes personales,ley 24699,186.029,6.0,True
2003,buenos aires,impuesto sobre los bienes personales,ley 23966 art 30,44.2881,6.0,True
2003,buenos aires,impuesto sobre los activos fondo educacion ley 23906,impuesto sobre los activos fondo educacion ley 23906,0.5012,6.0,True
2003,buenos aires,i.v.a.ley 23966 art 5 punto 2,i.v.a.ley 23966 art 5 punto 2,58.6912,6.0,True
2003,buenos aires,impuesto a los combustibles liquidos ley 23966 y 24699,vialidad provincial,55.7403,6.0,True
2003,buenos aires,impuesto a los combustibles liquidos ley 23966 y 24699,f.e.d.e.i.,0.759,6.0,True
2003,buenos aires,impuesto a los combustibles liquidos ley 23966 y 24699,ley 24464 fo.na.vi,79.4812,6.0,True
2003,buenos aires,regimen de energia electrica ley 24065,fondo para compensaciones de tarifa electrica,4.2717,6.0,True
2003,buenos aires,regimen de energia electrica ley 24065,f.e.d.e.i.,1.114,6.0,True
2003,buenos aires,regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a,regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a,18.6763,6.0,True
2003,catamarca,coparticipacion federal de impuestos ley 23548,coparticipacion federal de impuestos ley 23548,349.5743,10.0,True
2003,catamarca,transferencia de servicios ley 24049,transferencia de servicios ley 24049,21.4,10.0,True
2003,catamarca,impuesto a las ganancias,obras de infraestructura basica social,10.2384,10.0,True
2003,catamarca,impuesto a las ganancias,excedente obras de caracter social a buenos aires,26.2658,10.0,True
2003,catamarca,impuesto a las ganancias,ley 24699,12.1784,10.0,True
2003,catamarca,impuesto sobre los bienes personales,ley 24699,23.3327,10.0,True
2003,catamarca,impuesto sobre los activos fondo educacion ley 23906,impuesto sobre los activos fondo educacion ley 23906,0.0375,10.0,True
2003,catamarca,impuesto a los combustibles liquidos ley 23966 y 24699,obras de infraestructura,3.0262,10.0,True
2003,catamarca,impuesto a los combustibles liquidos ley 23966 y 24699,vialidad provincial,5.1926,10.0,True
2003,catamarca,impuesto a los combustibles liquidos ley 23966 y 24699,f.e.d.e.i.,2.9221,10.0,True
2003,catamarca,impuesto a los combustibles liquidos ley 23966 y 24699,ley 24464 fo.na.vi,11.5111,10.0,True
2003,catamarca,regimen de energia electrica ley 24065,fondo para compensaciones de tarifa electrica,6.0562,10.0,True
2003,catamarca,regimen de energia electrica ley 24065,f.e.d.e.i.,4.018,10.0,True
2003,catamarca,fondo compensador de desequilibrios,fondo compensador de desequilibrios,26.4759,10.0,True
2003,catamarca,regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a,regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a,2.3425,10.0,True
2003,cordoba,coparticipacion federal de impuestos ley 23548,coparticipacion federal de impuestos ley 23548,1126.9493,14.0,True
2003,cordoba,transferencia de servicios ley 24049,transferencia de servicios ley 24049,125.3,14.0,True
2003,cordoba,impuesto a las ganancias,obras de infraestructura basica social,57.2637,14.0,True
2003,cordoba,impuesto a las ganancias,excedente obras de caracter social a buenos aires,84.6737,14.0,True
2003,cordoba,impuesto a las ganancias,ley 24699,39.2602,14.0,True
