anio,provincia_id,ron_total,provincia
2003,2,318.7014,CABA
2003,6,4427.5299,Buenos Aires
2003,10,504.5717,Catamarca
2003,14,1623.0074,Córdoba
2003,18,708.4787,Corrientes
2003,22,894.0219,Chaco
2003,26,359.4761,Chubut
2003,30,915.8251,Entre Ríos
2003,34,665.1027,Formosa
2003,38,547.6737,Jujuy
2003,42,371.3776,La Pampa
2003,46,398.0258,La Rioja
2003,50,795.0909,Mendoza
2003,54,651.1751,Misiones
2003,58,364.9029,Neuquén
2003,62,483.0042,Río Negro
2003,66,733.3231,Salta
2003,70,614.7418,San Juan
2003,74,433.0525,San Luis
2003,78,354.468,Santa Cruz
2003,82,1680.1428,Santa Fe
2003,86,761.0144,Santiago del Estero
2003,90,885.0249,Tucumán
2003,94,270.8972,Tierra del Fuego
2004,2,524.065,CABA
2004,6,6010.7782,Buenos Aires
2004,10,729.7348,Catamarca
2004,14,2378.2857,Córdoba
2004,18,1029.5436,Corrientes
2004,22,1321.18,Chaco
2004,26,495.5895,Chubut
2004,30,1325.7576,Entre Ríos
2004,34,969.0349,Formosa
2004,38,789.3002,Jujuy
2004,42,525.2632,La Pampa
2004,46,566.9208,La Rioja
2004,50,1146.3861,Mendoza
2004,54,934.0752,Misiones
2004,58,510.7548,Neuquén
2004,62,693.6731,Río Negro
2004,66,1064.764,Salta
2004,70,899.5311,San Juan
2004,74,630.3114,San Luis
2004,78,482.9554,Santa Cruz
2004,82,2445.2777,Santa Fe
2004,86,1107.8104,Santiago del Estero
2004,90,1289.4789,Tucumán
2004,94,368.8315,Tierra del Fuego
2005,2,646.2107,CABA
2005,6,7199.8385,Buenos Aires
2005,10,898.0386,Catamarca
2005,14,2929.6916,Córdoba
2005,18,1267.1948,Corrientes
2005,22,1637.4025,Chaco
2005,26,587.4772,Chubut
2005,30,1629.091,Entre Ríos
2005,34,1195.9811,Formosa
2005,38,967.4129,Jujuy
2005,42,640.5041,La Pampa
2005,46,694.5983,La Rioja
2005,50,1413.872,Mendoza
2005,54,1150.9389,Misiones
2005,58,621.1124,Neuquén
2005,62,851.1837,Río Negro
2005,66,1309.0007,Salta
2005,70,1106.2372,San Juan
2005,74,761.1025,San Luis
2005,78,594.2024,Santa Cruz
2005,82,3009.9729,Santa Fe
2005,86,1367.0533,Santiago del Estero
2005,90,1588.7492,Tucumán
2005,94,444.0442,Tierra del Fuego
2006,2,802.7465,CABA
2006,6,8655.2565,Buenos Aires
2006,10,1107.9445,Catamarca
2006,14,3615.3833,Córdoba
2006,18,1567.0418,Corrientes
2006,22,2027.5568,Chaco
2006,26,714.6614,Chubut
2006,30,2006.1209,Entre Ríos
2006,34,1479.0617,Formosa
2006,38,1190.3622,Jujuy
2006,42,787.4638,La Pampa
2006,46,854.9327,La Rioja
2006,50,1738.5455,Mendoza
2006,54,1419.8455,Misiones
2006,58,761.0837,Neuquén
2006,62,1046.816,Río Negro
2006,66,1617.8393,Salta
2006,70,1365.759,San Juan
2006,74,936.9776,San Luis
2006,78,718.6236,Santa Cruz
2006,82,3702.902,Santa Fe
2006,86,1688.8211,Santiago del Estero
2006,90,1958.6274,Tucumán
2006,94,539.9728,Tierra del Fuego
2007,2,1064.2273,CABA
2007,6,11119.1644,Buenos Aires
2007,10,1454.0628,Catamarca
2007,14,4756.6484,Córdoba
2007,18,2060.3961,Corrientes
2007,22,2674.3556,Chaco
2007,26,923.4607,Chubut
2007,30,2632.6093,Entre Ríos
2007,34,1944.8069,Formosa
2007,38,1558.3876,Jujuy
2007,42,1023.4763,La Pampa
2007,46,1117.0848,La Rioja
2007,50,2265.3828,Mendoza
2007,54,1857.6627,Misiones
2007,58,989.0494,Neuquén
2007,62,1370.3148,Río Negro
2007,66,2125.8389,Salta
2007,70,1790.2097,San Juan
2007,74,1228.0356,San Luis
2007,78,919.3649,Santa Cruz
2007,82,4856.2727,Santa Fe
2007,86,2224.365,Santiago del Estero
2007,90,2573.9187,Tucumán
2007,94,696.315,Tierra del Fuego
2008,2,1336.7356,CABA
2008,6,13798.0257,Buenos Aires
2008,10,1826.1209,Catamarca
2008,14,5996.5601,Córdoba
2008,18,2595.1622,Corrientes
2008,22,3376.5451,Chaco
2008,26,1150.1367,Chubut
2008,30,3313.1742,Entre Ríos
2008,34,2449.9471,Formosa
2008,38,1956.7234,Jujuy
2008,42,1279.7384,La Pampa
2008,46,1399.7326,La Rioja
2008,50,2847.8068,Mendoza
2008,54,2339.1454,Misiones
2008,58,1240.5433,Neuquén
2008,62,1720.7265,Río Negro
2008,66,2672.5692,Salta
2008,70,2253.9348,San Juan
2008,74,1547.5044,San Luis
2008,78,1138.7112,Santa Cruz
2008,82,6115.3212,Santa Fe
2008,86,2804.7387,Santiago del Estero
2008,90,3239.7729,Tucumán
2008,94,868.2641,Tierra del Fuego
2009,2,1459.3966,CABA
2009,6,15090.8378,Buenos Aires
2009,10,1996.8083,Catamarca
2009,14,6542.3114,Córdoba
2009,18,2838.6387,Corrientes
2009,22,3686.1745,Chaco
2009,26,1256.5497,Chubut
2009,30,3615.6585,Entre Ríos
2009,34,2680.4698,Formosa
2009,38,2135.9443,Jujuy
2009,42,1397.6065,La Pampa
2009,46,1529.0144,La Rioja
2009,50,3107.349,Mendoza
2009,54,2552.8872,Misiones
2009,58,1361.6284,Neuquén
2009,62,1884.8629,Río Negro
2009,66,2916.505,Salta
2009,70,2462.9644,San Juan
2009,74,1692.0094,San Luis
2009,78,1251.1778,Santa Cruz
2009,82,6662.4901,Santa Fe
2009,86,3066.2622,Santiago del Estero
2009,90,3532.1281,Tucumán
2009,94,951.4486,Tierra del Fuego
2010,2,1963.4948,CABA
