periodo,provincia_id,provincia,coparticipacion_neta_educativo,financiamiento_educativo,coparticipacion_incluye_educativo,ron_antes_consenso,consenso_fiscal,ron_total,habitantes,ron_real_agosto2026,ron_pesos_por_habitante
2025-01,6,Buenos Aires,939983.6231,0.0,939983.6231,975020.0491,115238.396658,1090258.445758,17443372,1702013.46325055,62502.73431983
2025-01,10,Catamarca,117897.3795,0.0,117897.3795,120155.9981,634.54248,120790.54058,439024,188567.33199396,275134.25366267
2025-01,14,Córdoba,380074.7688,0.0,380074.7688,393568.7731,3701.851956,397270.625056,3957565,620183.18228131,100382.59006637
2025-01,18,Corrientes,159120.2394,0.0,159120.2394,164800.4867,4515.886716,169316.373416,1203905,264321.49938764,140639.31407877
2025-01,22,Chaco,213534.4146,0.0,213534.4146,219224.3807,5509.670232,224734.050932,1207608,350834.59506811,186098.51121556
2025-01,26,Chubut,67694.7839,0.0,67694.7839,70493.0811,1049.378484,71542.459584,602348,111685.65570833,118772.63572553
2025-01,30,Entre Ríos,208999.9,0.0,208999.9,215624.9323,2546.46194,218171.39424,1459182,340589.56547175,149516.23186141
2025-01,34,Formosa,155822.4106,0.0,155822.4106,159797.081,2717.606892,162514.687892,626649,253703.31946921,259339.25992382
2025-01,38,Jujuy,121607.4369,0.0,121607.4369,124204.2251,2628.13727,126832.36237,800744,197999.28096822,158393.14733548
2025-01,42,La Pampa,81954.2023,0.0,81954.2023,84413.7317002,0.0,84413.7317002,376794,131779.12851395,224031.51775294
2025-01,46,La Rioja,88629.1489,0.0,88629.1489,90535.576,823.270888,91358.846888,403577,142621.21792812,226372.77864695
2025-01,50,Mendoza,178494.9836,0.0,178494.9836,182327.5298,3852.322804,186179.852604,2047181,290647.24694492,90944.50007303
2025-01,54,Misiones,141394.4097,0.0,141394.4097,145743.5673,5086.44048,150830.00778,1344368,235462.24741718,112193.98838711
2025-01,58,Neuquén,74290.4415,0.0,74290.4415,77431.1721,1411.311836,78842.483936,702816,123081.7974007,112180.83244548
2025-01,62,Río Negro,108003.8931,0.0,108003.8931,111076.6959,1320.904464,112397.600364,788658,175465.02831591,142517.54291974
2025-01,66,Salta,164066.9826,0.0,164066.9826,167593.2074,7165.15668,174758.36408,1486517,272817.04593722,117562.30442033
2025-01,70,San Juan,144692.2384,0.0,144692.2384,147774.1756,1661.607926,149435.783526,849117,233285.70986287,175989.62631298
2025-01,74,San Luis,97698.1781,0.0,97698.1781,100270.5825,0.0,100270.5825,536173,156533.41833488,187011.62218165
2025-01,78,Santa Cruz,67694.7839,0.0,67694.7839,70304.187,229.503648,70533.690648,334953,110110.85634121,210577.87405397
2025-01,82,Santa Fe,390017.9474,0.0,390017.9474,403835.27830081,4219.21324,408054.49154081,3684529,637017.98508835,110748.07432397
2025-01,86,Santiago del Estero,176846.0692,0.0,176846.0692,180752.6423,4457.874146,185210.516446,1056774,289134.00648551,175260.28880915
2025-01,90,Tucumán,203640.9282,0.0,203640.9282,207610.3704,7726.88685,215337.25725,1773567,336165.16561276,121414.78571151
2025-01,94,Tierra del Fuego,52792.1172,0.0,52792.1172,54568.6551,116.646948,54685.302048,182003,85369.77694579,300463.73987242
2025-01,2,CABA,105586.2345,0.0,105586.2345,106057.9974,,106057.9974,3079674,165568.21014552,34438.05980763
2025-02,6,Buenos Aires,866688.8415,0.0,866688.8415,906329.12417391,104762.17878,1011091.30295391,17443372,1541406.00810433,57964.21144684
2025-02,10,Catamarca,108704.3867,0.0,108704.3867,112235.0196536,576.8568,112811.8764536,439024,171981.40627171,256960.61366486
2025-02,14,Córdoba,350438.6172,0.0,350438.6172,366189.33071695,3365.31996,369554.65067695,3957565,563385.08422747,93379.30032152
2025-02,18,Corrientes,146712.9135,0.0,146712.9135,153864.87918716,4105.35156,157970.23074716,1203905,240825.19755034,131214.86391963
2025-02,22,Chaco,196884.1689,0.0,196884.1689,204277.61787644,5008.79112,209286.40899644,1207608,319056.57510774,173306.57713136
2025-02,26,Chubut,62416.3149,0.0,62416.3149,66359.93629236,953.98044,67313.91673236,602348,102619.88741982,111752.53629522
2025-02,30,Entre Ríos,192703.2309,0.0,192703.2309,200843.16189166,2314.9654,203158.12729166,1459182,309714.02591212,139227.4077474
2025-02,34,Formosa,143672.2313,0.0,143672.2313,149167.83573148,2470.55172,151638.38745148,626649,231172.31924961,241982.97204891
2025-02,38,Jujuy,112125.1541,0.0,112125.1541,116016.13601686,2389.2157,118405.35171686,800744,180508.64446649,147869.17131675
2025-02,42,La Pampa,75561.3775,0.0,75561.3775,79068.47749041,0.0,79068.47749041,376794,120539.68410105,209845.37304313
2025-02,46,La Rioja,81718.3326,0.0,81718.3326,84779.02444906,748.42808,85527.45252906,403577,130386.37440655,211923.50537583
2025-02,50,Mendoza,164576.9211,0.0,164576.9211,170012.62541165,3502.11164,173514.73705165,2047181,264522.7561593,84757.8875789
2025-02,54,Misiones,130369.247,0.0,130369.247,136232.82484642,4624.0368,140856.86164642,1344368,214735.91177196,104775.5239982
2025-02,58,Neuquén,68497.6792,0.0,68497.6792,72906.09022762,1283.01076,74189.10098762,702816,113101.0875715,105559.77807508
2025-02,62,Río Negro,99582.3402,0.0,99582.3402,104006.1749011,1200.82224,105206.9971411,788658,160387.78794173,133400.02528485
2025-02,66,Salta,151273.9367,0.0,151273.9367,156418.41315146,6513.7788,162932.19195146,1486517,248389.69423816,109606.67920478
2025-02,70,San Juan,133409.9291,0.0,133409.9291,137864.57199989,1510.55266,139375.12465989,849117,212477.00766825,164141.24868526
2025-02,74,San Luis,90080.2085,0.0,90080.2085,93851.36879437,0.0,93851.36879437,536173,143076.16266288,175039.34139609
2025-02,78,Santa Cruz,62416.3149,0.0,62416.3149,66307.52783737,208.63968,66516.16751737,334953,101403.72085864,198583.584913
2025-02,82,Santa Fe,359594.6582,0.0,359594.6582,375509.723902,3835.6484,379345.372302,3684529,578311.01336209,102956.2726476
2025-02,86,Santiago del Estero,163056.58,0.0,163056.58,168676.6491562,4052.61286,172729.2620162,1056774,263325.30155225,163449.57579974
2025-02,90,Tucumán,187762.1224,0.0,187762.1224,193404.01753844,7233.5335,200637.55103844,1773567,305871.41410323,113126.56981013
2025-02,94,Tierra del Fuego,48675.7008,0.0,48675.7008,51343.40999897,106.04268,51449.45267897,182003,78434.55407177,282684.64079694
2025-02,2,CABA,97353.4017,0.0,97353.4017,97947.6777,,97947.6777,3079674,149320.97471867,31804.56038529
2025-03,6,Buenos Aires,694053.8868,90690.13827112,784744.02507112,817440.19387749,94285.960902,911726.15477949,17443372,1339952.77160569,52267.76994606
2025-03,10,Catamarca,94191.1606,4235.30323352,98426.46383352,101443.80998367,519.17112,101962.98110367,439024,149853.74546383,232249.21895767
2025-03,14,Córdoba,297822.4991,19482.39487416,317304.89397416,330369.23462874,3028.787964,333398.02259274,3957565,489990.9935446,84243.2209181
2025-03,18,Corrientes,123960.8368,8880.47452184,132841.31132184,138945.01589324,3694.816404,142639.83229724,1203905,209636.01584325,118480.97009086
2025-03,22,Chaco,168350.1031,9918.80692752,178268.91002752,184434.09118925,4507.912008,188942.00319725,1207608,277685.74975028,156459.71473959
