impacto_presupuestario_mes,ubicacion_geografica_id,ubicacion_geografica_desc,principal_id,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,tipo_transferencia,destino_provincia_identificada,mes_completo,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
1,2,Ciudad Autónoma de Buenos Aires,7,77829.97930409,77829.97930409,77820.25930409,2025,2025-01,corriente,True,True,121501.16620099,121501.16620099,121485.99221089
1,2,Ciudad Autónoma de Buenos Aires,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,6,Provincia de Buenos Aires,7,163.176,163.176,95.406,2025,2025-01,corriente,True,True,254.73570048,254.73570048,148.9392695
1,6,Provincia de Buenos Aires,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,10,Provincia de Catamarca,7,6.3,6.3,0.0,2025,2025-01,corriente,True,True,9.83499358,9.83499358,0.0
1,10,Provincia de Catamarca,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,14,Provincia de Córdoba,7,61.665,61.665,46.9,2025,2025-01,corriente,True,True,96.26585386,96.26585386,73.21606334
1,14,Provincia de Córdoba,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,18,Provincia de Corrientes,7,24.78,24.78,15.06,2025,2025-01,corriente,True,True,38.6843081,38.6843081,23.510318
1,18,Provincia de Corrientes,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,22,Provincia del Chaco,7,52.365,52.365,52.365,2025,2025-01,corriente,True,True,81.74753,81.74753,81.74753
1,22,Provincia del Chaco,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,26,Provincia del Chubut,7,7000.0,7000.0,7000.0,2025,2025-01,corriente,True,True,10927.77064843,10927.77064843,10927.77064843
1,26,Provincia del Chubut,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,30,Provincia de Entre Ríos,7,16.635,16.635,0.0,2025,2025-01,corriente,True,True,25.96906639,25.96906639,0.0
1,30,Provincia de Entre Ríos,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
1,34,Provincia de Formosa,7,0.0,0.0,0.0,2025,2025-01,corriente,True,True,0.0,0.0,0.0
1,34,Provincia de Formosa,8,0.0,0.0,0.0,2025,2025-01,capital,True,True,0.0,0.0,0.0
