periodo,corte_stock,periodo_parcial,agrupa_varios_anios,capital_usd_millones,intereses_usd_millones,total_usd_millones
2026,2026-03-31,True,False,134446.41845514,7292.30356512,141738.72202026
2027,2026-03-31,False,False,72570.25375712,10141.38635743,82711.64011455
2028,2026-03-31,False,False,40028.61291004,9761.57691973,49790.18982977
2029,2026-03-31,False,False,26234.01834985,8982.28555621,35216.30390606
2030,2026-03-31,False,False,22527.07668913,7901.50759315,30428.58428229
2031,2026-03-31,False,False,38448.47817162,6592.49140436,45040.96957598
2032,2026-03-31,False,False,33852.36103104,5187.72635674,39040.08738778
2033,2026-03-31,False,False,30712.48200595,4073.15455214,34785.63655809
2034,2026-03-31,False,False,25741.33053641,3148.62076083,28889.95129724
2035,2026-03-31,False,False,14563.98120145,2369.39378686,16933.37498831
2036/2089,2026-03-31,False,True,42211.25364655,9026.58352465,51237.8371712
