periodo,corte_stock,capital_usd_millones,intereses_usd_millones,total_usd_millones,estado
2026-04,2026-03-31,22790.98138311,304.28086809,23095.2622512,Calendario publicado con stock al 31/03/2026
2026-05,2026-03-31,18951.27169524,1262.57771858,20213.84941382,Calendario publicado con stock al 31/03/2026
2026-06,2026-03-31,14170.20118251,452.93669023,14623.13787274,Calendario publicado con stock al 31/03/2026
2026-07,2026-03-31,8292.62813545,2047.2708941,10339.89902955,Calendario publicado con stock al 31/03/2026
2026-08,2026-03-31,6956.58921376,882.62558853,7839.21480229,Calendario publicado con stock al 31/03/2026
2026-09,2026-03-31,6515.37862747,358.35266794,6873.73129541,Calendario publicado con stock al 31/03/2026
2026-10,2026-03-31,10579.13609384,277.52123321,10856.65732705,Calendario publicado con stock al 31/03/2026
2026-11,2026-03-31,7306.4930391,1262.04683363,8568.53987273,Calendario publicado con stock al 31/03/2026
2026-12,2026-03-31,38883.73908466,444.69107082,39328.43015547,Calendario publicado con stock al 31/03/2026
2027-01,2026-03-31,8290.40380745,2034.41682131,10324.82062876,Calendario publicado con stock al 31/03/2026
2027-02,2026-03-31,3265.54893779,863.43409389,4128.98303168,Calendario publicado con stock al 31/03/2026
2027-03,2026-03-31,4402.3216245,340.01434751,4742.33597201,Calendario publicado con stock al 31/03/2026
2027-04,2026-03-31,9242.79839702,265.83100022,9508.62939724,Calendario publicado con stock al 31/03/2026
2027-05,2026-03-31,4235.56046718,1193.48129475,5429.04176192,Calendario publicado con stock al 31/03/2026
2027-06,2026-03-31,13301.07077921,433.09585848,13734.16663769,Calendario publicado con stock al 31/03/2026
2027-07,2026-03-31,4143.14456686,2009.64442296,6152.78898982,Calendario publicado con stock al 31/03/2026
2027-08,2026-03-31,102.22496288,833.56370309,935.78866597,Calendario publicado con stock al 31/03/2026
2027-09,2026-03-31,2898.81385289,331.64302584,3230.45687873,Calendario publicado con stock al 31/03/2026
2027-10,2026-03-31,1309.97577315,260.99050861,1570.96628176,Calendario publicado con stock al 31/03/2026
2027-11,2026-03-31,598.23236307,1156.71509529,1754.94745836,Calendario publicado con stock al 31/03/2026
2027-12,2026-03-31,20780.15822513,418.55618549,21198.71441062,Calendario publicado con stock al 31/03/2026
