province,period,published_millions,reconstructed_millions,delta_millions,delta_pct,iibb_millions,iibb_share_pct,source_current,status
CABA,2026-01,1124942.900000,1124942.900000,0.000000,0.000000,759579.100000,67.521569,top_mensual_2026_normalizado.csv,ok
CABA,2026-02,973721.700000,973721.700000,0.000000,0.000000,711180.300000,73.037327,top_mensual_2026_normalizado.csv,ok
CABA,2026-03,834884.700000,834884.700000,-0.000000,-0.000000,644673.900000,77.217118,top_mensual_2026_normalizado.csv,ok
CABA,2026-04,953683.400000,953683.400000,0.000000,0.000000,714719.700000,74.943079,top_mensual_2026_normalizado.csv,ok
CABA,2026-05,944690.100000,944690.100000,-0.000000,-0.000000,750198.500000,79.412127,top_mensual_2026_normalizado.csv,ok
CABA,2026-06,973905.300000,973905.300000,0.000000,0.000000,737506.400000,75.726706,top_mensual_2026_normalizado.csv,ok
CABA,2026-07,980445.600000,980445.600000,0.000000,0.000000,783413.900000,79.903862,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-01,23332.945586,23332.945586,0.000000,0.000000,21870.151582,93.730779,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-02,20973.172422,20973.172422,0.000000,0.000000,18769.000078,89.490515,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-03,22667.205210,22667.205210,0.000000,0.000000,18127.227410,79.971162,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-04,24745.498135,24745.498135,0.000000,0.000000,20732.330873,83.782233,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-05,23439.127803,23439.127803,-0.000000,-0.000000,20529.255093,87.585405,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-06,23912.582234,23912.582234,0.000000,0.000000,21657.432749,90.569193,top_mensual_2026_normalizado.csv,ok
Catamarca,2026-07,26317.415122,26317.415122,0.000000,0.000000,23144.821439,87.944889,top_mensual_2026_normalizado.csv,ok
Chaco,2026-01,48202.273860,48202.273860,0.000000,0.000000,33654.962144,69.820279,top_mensual_2026_normalizado.csv,ok
Chaco,2026-02,43429.837190,43429.837190,0.000000,0.000000,31721.619537,73.041074,top_mensual_2026_normalizado.csv,ok
Chaco,2026-03,40506.351427,40506.351427,0.000000,0.000000,28963.609582,71.503872,top_mensual_2026_normalizado.csv,ok
Chaco,2026-04,42923.949560,42923.949560,0.000000,0.000000,30813.302240,71.785804,top_mensual_2026_normalizado.csv,ok
Chaco,2026-05,43709.058261,43709.058261,-0.000000,-0.000000,31627.758203,72.359734,top_mensual_2026_normalizado.csv,ok
Chaco,2026-06,45712.899385,45712.899385,0.000000,0.000000,33417.513189,73.103027,top_mensual_2026_normalizado.csv,ok
Chaco,2026-07,51542.679270,51542.679270,0.000000,0.000000,36452.558500,70.723057,top_mensual_2026_normalizado.csv,ok
Chubut,2026-01,67605.819445,67605.819445,-0.000000,-0.000000,49522.085366,73.251217,top_mensual_2026_normalizado.csv,ok
Chubut,2026-02,55314.077338,55314.077338,0.000000,0.000000,45753.886422,82.716532,top_mensual_2026_normalizado.csv,ok
Chubut,2026-03,59759.986460,59759.986460,0.000000,0.000000,41764.974936,69.887859,top_mensual_2026_normalizado.csv,ok
Chubut,2026-04,58029.718613,58029.718613,-0.000000,-0.000000,46964.932341,80.932552,top_mensual_2026_normalizado.csv,ok
Chubut,2026-05,57332.631545,57332.631545,0.000000,0.000000,48912.075467,85.312804,top_mensual_2026_normalizado.csv,ok
Chubut,2026-06,57540.976179,57540.976179,0.000000,0.000000,48360.677905,84.045633,top_mensual_2026_normalizado.csv,ok
Chubut,2026-07,67343.000000,67343.000000,0.000000,0.000000,59118.000000,87.786407,top_mensual_2026_normalizado.csv,ok
Corrientes,2026-01,36675.857592,36675.857592,0.000000,0.000000,31388.155613,85.582608,top_mensual_2026_normalizado.csv,ok
Corrientes,2026-02,34887.551897,34887.551897,-0.000000,-0.000000,30211.810000,86.597678,top_mensual_2026_normalizado.csv,ok
Corrientes,2026-03,34282.886697,34282.886697,-0.000000,-0.000000,28772.437883,83.926532,top_mensual_2026_normalizado.csv,ok
Corrientes,2026-04,42881.274797,42881.274797,-0.000000,-0.000000,32059.956612,74.764467,top_mensual_2026_normalizado.csv,ok
Corrientes,2026-05,37981.387271,37981.387271,-0.000000,-0.000000,32161.157916,84.676101,top_mensual_2026_normalizado.csv,ok
Córdoba,2026-01,373544.681767,373544.681767,0.000000,0.000000,277942.435932,74.406744,top_mensual_2026_normalizado.csv,ok
Córdoba,2026-02,376446.766815,376446.766815,0.000000,0.000000,242946.498124,64.536747,top_mensual_2026_normalizado.csv,ok
Córdoba,2026-03,369078.723620,369078.723620,0.000000,0.000000,245101.444514,66.408988,top_mensual_2026_normalizado.csv,ok
Córdoba,2026-04,373312.463263,373312.463263,0.000000,0.000000,260877.639025,69.881846,top_mensual_2026_normalizado.csv,ok
Córdoba,2026-05,408881.216871,408881.216871,0.000000,0.000000,272287.853378,66.593388,top_mensual_2026_normalizado.csv,ok
