province,source,category,value_millions,year,period_type,period,category_normalized
Buenos Aires,serie_ron_2003_2025.xlsx,COPARTIC. | FEDERAL DE | IMPUESTOS | LEY N° 23.548,2787.1198,2003,year,2003,CFI | Neta
Buenos Aires,serie_ron_2003_2025.xlsx,TRANSFER. | DE SERVICIOS | LEY | Nº 24.049,443.76,2003,year,2003,TRANSFER. | DE SERVICIOS | LEY | Nº 24.049
Buenos Aires,serie_ron_2003_2025.xlsx,S U B - | T O T A L,3230.8798,2003,year,2003,S U B - | T O T A L
Buenos Aires,serie_ron_2003_2025.xlsx,IMPUESTO A LAS GANANCIAS | OB. INFRAEST. | BASICA SOCIAL,650.0,2003,year,2003,IMPUESTO A LAS GANANCIAS | OB. INFRAEST. | BASICA SOCIAL
Buenos Aires,serie_ron_2003_2025.xlsx,EXC. OB. CARACT. | SOCIAL A BS. AS.,0.0,2003,year,2003,EXC. OB. CARACT. | SOCIAL A BS. AS.
Buenos Aires,serie_ron_2003_2025.xlsx,LEY | Nº 24.699,97.0981,2003,year,2003,LEY | Nº 24.699
Buenos Aires,serie_ron_2003_2025.xlsx,IMPUESTO SOBRE LOS | BIENES PERSONALES | LEY | Nº 24.699,186.029,2003,year,2003,IMPUESTO SOBRE LOS | BIENES PERSONALES | LEY | Nº 24.699
Buenos Aires,serie_ron_2003_2025.xlsx,LEY Nº 23.966 | Art. 30,44.2881,2003,year,2003,LEY Nº 23.966 | Art. 30
Buenos Aires,serie_ron_2003_2025.xlsx,IMPUESTO S/ | LOS ACTIVOS | FDO. EDUC. | LEY Nº 23.906,0.5012,2003,year,2003,IMPUESTO S/ | LOS ACTIVOS | FDO. EDUC. | LEY Nº 23.906
Buenos Aires,serie_ron_2003_2025.xlsx,I.V.A. | LEY Nº 23.966 | Art. 5 | Punto 2,58.6912,2003,year,2003,I.V.A. | LEY Nº 23.966 | Art. 5 | Punto 2
Buenos Aires,serie_ron_2003_2025.xlsx,IMPUESTO A LOS COMBUSTIBLES LIQUIDOS | LEY Nº 23.966 y Nº 24.699 | OBRAS DE | INFRAEST.,0.0,2003,year,2003,IMPUESTO A LOS COMBUSTIBLES LIQUIDOS | LEY Nº 23.966 y Nº 24.699 | OBRAS DE | INFRAEST.
Buenos Aires,serie_ron_2003_2025.xlsx,VIALIDAD | PROVINCIAL,55.740300000000005,2003,year,2003,VIALIDAD | PROVINCIAL
Buenos Aires,serie_ron_2003_2025.xlsx,F.E.D.E.I.,0.759,2003,year,2003,F.E.D.E.I.
Buenos Aires,serie_ron_2003_2025.xlsx,LEY Nº 24.464 | FO.NA.VI.,79.4812,2003,year,2003,LEY Nº 24.464 | FO.NA.VI.
Buenos Aires,serie_ron_2003_2025.xlsx,REGIMEN DE LA ENERGIA ELECTRICA | L E Y Nº 2 4 . 0 6 5 | FDO. P/COMP. | TARIFA ELECT.,4.2717,2003,year,2003,REGIMEN DE LA ENERGIA ELECTRICA | L E Y Nº 2 4 . 0 6 5 | FDO. P/COMP. | TARIFA ELECT.
Buenos Aires,serie_ron_2003_2025.xlsx,TRANSF. A EMP. | ENERG. ELECT.,0.0,2003,year,2003,TRANSF. A EMP. | ENERG. ELECT.
Buenos Aires,serie_ron_2003_2025.xlsx,F.E.D.E.I.,1.114,2003,year,2003,F.E.D.E.I.
Buenos Aires,serie_ron_2003_2025.xlsx,FONDO | COMPENS. | DE | DESEQUILIB.,0.0,2003,year,2003,FONDO | COMPENS. | DE | DESEQUILIB.
Buenos Aires,serie_ron_2003_2025.xlsx,REG.SIMPLIF. | P/PEQ.CONTRIB. | LEY Nº 24.977 | ART. 59 INC. A,18.6763,2003,year,2003,REG.SIMPLIF. | P/PEQ.CONTRIB. | LEY Nº 24.977 | ART. 59 INC. A
Buenos Aires,serie_ron_2003_2025.xlsx,T O T A L,4427.5299,2003,year,2003,Total | (1) + (2)
Catamarca,serie_ron_2003_2025.xlsx,COPARTIC. | FEDERAL DE | IMPUESTOS | LEY N° 23.548,349.5743,2003,year,2003,CFI | Neta
Catamarca,serie_ron_2003_2025.xlsx,TRANSFER. | DE SERVICIOS | LEY | Nº 24.049,21.4,2003,year,2003,TRANSFER. | DE SERVICIOS | LEY | Nº 24.049
Catamarca,serie_ron_2003_2025.xlsx,S U B - | T O T A L,370.9743,2003,year,2003,S U B - | T O T A L
Catamarca,serie_ron_2003_2025.xlsx,IMPUESTO A LAS GANANCIAS | OB. INFRAEST. | BASICA SOCIAL,10.2384,2003,year,2003,IMPUESTO A LAS GANANCIAS | OB. INFRAEST. | BASICA SOCIAL
Catamarca,serie_ron_2003_2025.xlsx,EXC. OB. CARACT. | SOCIAL A BS. AS.,26.2658,2003,year,2003,EXC. OB. CARACT. | SOCIAL A BS. AS.
Catamarca,serie_ron_2003_2025.xlsx,LEY | Nº 24.699,12.1784,2003,year,2003,LEY | Nº 24.699
Catamarca,serie_ron_2003_2025.xlsx,IMPUESTO SOBRE LOS | BIENES PERSONALES | LEY | Nº 24.699,23.3327,2003,year,2003,IMPUESTO SOBRE LOS | BIENES PERSONALES | LEY | Nº 24.699
Catamarca,serie_ron_2003_2025.xlsx,LEY Nº 23.966 | Art. 30,0.0,2003,year,2003,LEY Nº 23.966 | Art. 30
Catamarca,serie_ron_2003_2025.xlsx,IMPUESTO S/ | LOS ACTIVOS | FDO. EDUC. | LEY Nº 23.906,0.0375,2003,year,2003,IMPUESTO S/ | LOS ACTIVOS | FDO. EDUC. | LEY Nº 23.906
Catamarca,serie_ron_2003_2025.xlsx,I.V.A. | LEY Nº 23.966 | Art. 5 | Punto 2,0.0,2003,year,2003,I.V.A. | LEY Nº 23.966 | Art. 5 | Punto 2
Catamarca,serie_ron_2003_2025.xlsx,IMPUESTO A LOS COMBUSTIBLES LIQUIDOS | LEY Nº 23.966 y Nº 24.699 | OBRAS DE | INFRAEST.,3.0262,2003,year,2003,IMPUESTO A LOS COMBUSTIBLES LIQUIDOS | LEY Nº 23.966 y Nº 24.699 | OBRAS DE | INFRAEST.
Catamarca,serie_ron_2003_2025.xlsx,VIALIDAD | PROVINCIAL,5.1926000000000005,2003,year,2003,VIALIDAD | PROVINCIAL
Catamarca,serie_ron_2003_2025.xlsx,F.E.D.E.I.,2.9221,2003,year,2003,F.E.D.E.I.
Catamarca,serie_ron_2003_2025.xlsx,LEY Nº 24.464 | FO.NA.VI.,11.5111,2003,year,2003,LEY Nº 24.464 | FO.NA.VI.
