province,source,year,tax,value_millions
Buenos Aires,serie_top_1984_2024_1.xlsx,1984,Automotores,255.38762
Buenos Aires,serie_top_1984_2024_1.xlsx,1985,Automotores,235.29733
Buenos Aires,serie_top_1984_2024_1.xlsx,1986,Automotores,212.00651
Buenos Aires,serie_top_1984_2024_1.xlsx,1987,Automotores,170.82710999999998
Buenos Aires,serie_top_1984_2024_1.xlsx,1988,Automotores,170.93519
Buenos Aires,serie_top_1984_2024_1.xlsx,1989,Automotores,177.77174
Buenos Aires,serie_top_1984_2024_1.xlsx,1990,Automotores,141.28079
Buenos Aires,serie_top_1984_2024_1.xlsx,1991,Automotores,235.0
Buenos Aires,serie_top_1984_2024_1.xlsx,1992,Automotores,290.925
Buenos Aires,serie_top_1984_2024_1.xlsx,1993,Automotores,337.88571
Buenos Aires,serie_top_1984_2024_1.xlsx,1994,Automotores,418.94806
Buenos Aires,serie_top_1984_2024_1.xlsx,1995,Automotores,398.95633
Buenos Aires,serie_top_1984_2024_1.xlsx,1996,Automotores,444.93561
Buenos Aires,serie_top_1984_2024_1.xlsx,1997,Automotores,484.631
Buenos Aires,serie_top_1984_2024_1.xlsx,1998,Automotores,498.64082
Buenos Aires,serie_top_1984_2024_1.xlsx,1999,Automotores,433.41264
Buenos Aires,serie_top_1984_2024_1.xlsx,2000,Automotores,397.56674
Buenos Aires,serie_top_1984_2024_1.xlsx,2001,Automotores,364.48236
Buenos Aires,serie_top_1984_2024_1.xlsx,2002,Automotores,326.79
Buenos Aires,serie_top_1984_2024_1.xlsx,2003,Automotores,368.702
Buenos Aires,serie_top_1984_2024_1.xlsx,2004,Automotores,403.371
Buenos Aires,serie_top_1984_2024_1.xlsx,2005,Automotores,551.975
Buenos Aires,serie_top_1984_2024_1.xlsx,2006,Automotores,687.43
Buenos Aires,serie_top_1984_2024_1.xlsx,2007,Automotores,804.095
Buenos Aires,serie_top_1984_2024_1.xlsx,2008,Automotores,1046.91
Buenos Aires,serie_top_1984_2024_1.xlsx,2009,Automotores,1398.6
Buenos Aires,serie_top_1984_2024_1.xlsx,2010,Automotores,1582.245
Buenos Aires,serie_top_1984_2024_1.xlsx,2011,Automotores,2125.09
Buenos Aires,serie_top_1984_2024_1.xlsx,2012,Automotores,2971.99
Buenos Aires,serie_top_1984_2024_1.xlsx,2013,Automotores,4472.5
Buenos Aires,serie_top_1984_2024_1.xlsx,2014,Automotores,5693.26
Buenos Aires,serie_top_1984_2024_1.xlsx,2015,Automotores,8339.24
Buenos Aires,serie_top_1984_2024_1.xlsx,2016,Automotores,12332.94139287
Buenos Aires,serie_top_1984_2024_1.xlsx,2017,Automotores,19723.4161748
Buenos Aires,serie_top_1984_2024_1.xlsx,2018,Automotores,22295.67
Buenos Aires,serie_top_1984_2024_1.xlsx,2019,Automotores,28999.000374509007
Buenos Aires,serie_top_1984_2024_1.xlsx,2020,Automotores,37277.35185751
Buenos Aires,serie_top_1984_2024_1.xlsx,2021,Automotores,58386.99999999999
Buenos Aires,serie_top_1984_2024_1.xlsx,2022,Automotores,89725.52847768
Buenos Aires,serie_top_1984_2024_1.xlsx,2023,Automotores,132468.35826341002
Buenos Aires,serie_top_1984_2024_1.xlsx,2024,Automotores,460483.0
Buenos Aires,serie_top_1984_2024_1.xlsx,1984,Ingresos Brutos,675.0468199999999
Buenos Aires,serie_top_1984_2024_1.xlsx,1985,Ingresos Brutos,682.03714
Buenos Aires,serie_top_1984_2024_1.xlsx,1986,Ingresos Brutos,894.41893
Buenos Aires,serie_top_1984_2024_1.xlsx,1987,Ingresos Brutos,831.46217
Buenos Aires,serie_top_1984_2024_1.xlsx,1988,Ingresos Brutos,655.8881899999999
Buenos Aires,serie_top_1984_2024_1.xlsx,1989,Ingresos Brutos,450.35507
Buenos Aires,serie_top_1984_2024_1.xlsx,1990,Ingresos Brutos,586.45356
Buenos Aires,serie_top_1984_2024_1.xlsx,1991,Ingresos Brutos,769.0
Buenos Aires,serie_top_1984_2024_1.xlsx,1992,Ingresos Brutos,1290.469
Buenos Aires,serie_top_1984_2024_1.xlsx,1993,Ingresos Brutos,1498.96024
Buenos Aires,serie_top_1984_2024_1.xlsx,1994,Ingresos Brutos,1804.46715
Buenos Aires,serie_top_1984_2024_1.xlsx,1995,Ingresos Brutos,1718.35997
Buenos Aires,serie_top_1984_2024_1.xlsx,1996,Ingresos Brutos,1916.39911
Buenos Aires,serie_top_1984_2024_1.xlsx,1997,Ingresos Brutos,2113.65
Buenos Aires,serie_top_1984_2024_1.xlsx,1998,Ingresos Brutos,2273.96901
Buenos Aires,serie_top_1984_2024_1.xlsx,1999,Ingresos Brutos,2116.93109
Buenos Aires,serie_top_1984_2024_1.xlsx,2000,Ingresos Brutos,2031.39341
Buenos Aires,serie_top_1984_2024_1.xlsx,2001,Ingresos Brutos,1791.31974
Buenos Aires,serie_top_1984_2024_1.xlsx,2002,Ingresos Brutos,2085.22
Buenos Aires,serie_top_1984_2024_1.xlsx,2003,Ingresos Brutos,3105.706
Buenos Aires,serie_top_1984_2024_1.xlsx,2004,Ingresos Brutos,4141.779
Buenos Aires,serie_top_1984_2024_1.xlsx,2005,Ingresos Brutos,5174.195
Buenos Aires,serie_top_1984_2024_1.xlsx,2006,Ingresos Brutos,6541.767
Buenos Aires,serie_top_1984_2024_1.xlsx,2007,Ingresos Brutos,8506.267
Buenos Aires,serie_top_1984_2024_1.xlsx,2008,Ingresos Brutos,12355.23
Buenos Aires,serie_top_1984_2024_1.xlsx,2009,Ingresos Brutos,15543.62
Buenos Aires,serie_top_1984_2024_1.xlsx,2010,Ingresos Brutos,19741.79
Buenos Aires,serie_top_1984_2024_1.xlsx,2011,Ingresos Brutos,26171.91
Buenos Aires,serie_top_1984_2024_1.xlsx,2012,Ingresos Brutos,33357.01
Buenos Aires,serie_top_1984_2024_1.xlsx,2013,Ingresos Brutos,49524.8
Buenos Aires,serie_top_1984_2024_1.xlsx,2014,Ingresos Brutos,67022.64
Buenos Aires,serie_top_1984_2024_1.xlsx,2015,Ingresos Brutos,87371.53
Buenos Aires,serie_top_1984_2024_1.xlsx,2016,Ingresos Brutos,114691.52195217
Buenos Aires,serie_top_1984_2024_1.xlsx,2017,Ingresos Brutos,152211.88
Buenos Aires,serie_top_1984_2024_1.xlsx,2018,Ingresos Brutos,191053.74627915
Buenos Aires,serie_top_1984_2024_1.xlsx,2019,Ingresos Brutos,261505.004992358
Buenos Aires,serie_top_1984_2024_1.xlsx,2020,Ingresos Brutos,338692.64947302
Buenos Aires,serie_top_1984_2024_1.xlsx,2021,Ingresos Brutos,578584.0
Buenos Aires,serie_top_1984_2024_1.xlsx,2022,Ingresos Brutos,1058285.91225586
Buenos Aires,serie_top_1984_2024_1.xlsx,2023,Ingresos Brutos,2422201.09281682
Buenos Aires,serie_top_1984_2024_1.xlsx,2024,Ingresos Brutos,7444572.5
Buenos Aires,serie_top_1984_2024_1.xlsx,1984,Inmobiliario,626.08539
Buenos Aires,serie_top_1984_2024_1.xlsx,1985,Inmobiliario,480.19266
Buenos Aires,serie_top_1984_2024_1.xlsx,1986,Inmobiliario,459.22992
Buenos Aires,serie_top_1984_2024_1.xlsx,1987,Inmobiliario,360.38418
Buenos Aires,serie_top_1984_2024_1.xlsx,1988,Inmobiliario,404.85902
Buenos Aires,serie_top_1984_2024_1.xlsx,1989,Inmobiliario,414.80072
Buenos Aires,serie_top_1984_2024_1.xlsx,1990,Inmobiliario,457.65457
Buenos Aires,serie_top_1984_2024_1.xlsx,1991,Inmobiliario,412.0
Buenos Aires,serie_top_1984_2024_1.xlsx,1992,Inmobiliario,460.839
Buenos Aires,serie_top_1984_2024_1.xlsx,1993,Inmobiliario,536.14139
Buenos Aires,serie_top_1984_2024_1.xlsx,1994,Inmobiliario,557.8219399999999
Buenos Aires,serie_top_1984_2024_1.xlsx,1995,Inmobiliario,531.20329
Buenos Aires,serie_top_1984_2024_1.xlsx,1996,Inmobiliario,592.4239
Buenos Aires,serie_top_1984_2024_1.xlsx,1997,Inmobiliario,667.295
Buenos Aires,serie_top_1984_2024_1.xlsx,1998,Inmobiliario,657.1281
Buenos Aires,serie_top_1984_2024_1.xlsx,1999,Inmobiliario,591.39588
Buenos Aires,serie_top_1984_2024_1.xlsx,2000,Inmobiliario,626.5921
Buenos Aires,serie_top_1984_2024_1.xlsx,2001,Inmobiliario,555.6015
Buenos Aires,serie_top_1984_2024_1.xlsx,2002,Inmobiliario,596.75
Buenos Aires,serie_top_1984_2024_1.xlsx,2003,Inmobiliario,805.37
Buenos Aires,serie_top_1984_2024_1.xlsx,2004,Inmobiliario,974.489
