province,source,year,period_type,period,tax,value_millions
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,27384.1503797974
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,1086193.5263529173
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,26695.321542420672
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,31266.52186125438
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,142812.81268369997
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,18634.38866591076
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,961709.4347713892
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,177086.64478417134
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,36016.228239241114
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,126193.6922753
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,120929.4187674624
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,944164.5388093963
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,129891.38239586934
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,39482.38123604626
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,131929.67612239998
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,66791.6829643412
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,1084984.685430985
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,96687.89722079538
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,39679.53238251293
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,137090.0929572
Buenos Aires,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,62661.063190401466
