province,source,year,period_type,period,tax,value_millions
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,124587.84480838744
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,2311050.292614186
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,179494.57263945366
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,43816.88588694343
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,303757.6505977
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,2962707.246546671
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,297626.1365295227
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,4873432.990384548
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,458314.0499006845
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,104238.32055160558
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,659154.231802
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,6392765.729168361
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,565468.4764673403
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,7642789.29757944
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,645902.7593821201
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,221185.09660256997
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,1060767.7519301302
Buenos Aires,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,10136113.381961605
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,2442.47597213
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,45433.75645189
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,1682.74073822
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,91.50124996
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,1467.13182333
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,51117.60623553
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,6129.1688102
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,91331.04423522
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,4187.3095062600005
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,155.16105947999998
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,3839.77897842
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,105642.46258958
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,8541.31616859
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,145775.36971001
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,5559.65170822
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,283.54087333
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,6195.78054473
Catamarca,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,166355.65900488
Chaco,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Chaco,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,47900.46309547
Chaco,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,130.16802472
Chaco,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,37732.70982833
